Epoca 189 | RMS 1.19062
Epoca 190 | RMS 1.19001
Epoca 191 | RMS 1.18940
Epoca 192 | RMS 1.18877
Epoca 193 | RMS 1.18813
Epoca 194 | RMS 1.18747
Epoca 195 | RMS 1.18681
Epoca 196 | RMS 1.18612
Epoca 197 | RMS 1.18543
Epoca 198 | RMS 1.18471
Epoca 199 | RMS 1.18399
Epoca 200 | RMS 1.18324
Epoca 201 | RMS 1.18248
Epoca 202 | RMS 1.18171
Epoca 203 | RMS 1.18091
Epoca 204 | RMS 1.18010
Epoca 205 | RMS 1.17927
Epoca 206 | RMS 1.17842
Epoca 207 | RMS 1.17756
Epoca 208 | RMS 1.17667
Epoca 209 | RMS 1.17576
Epoca 210 | RMS 1.17483
Epoca 211 | RMS 1.17389
Epoca 212 | RMS 1.17291
Epoca 213 | RMS 1.17192
Epoca 214 | RMS 1.17091
Epoca 215 | RMS 1.16987
Epoca 216 | RMS 1.16881
Epoca 217 | RMS 1.16772
Epoca 218 | RMS 1.16662
Epoca 219 | RMS 1.16549
Epoca 220 | RMS 1.16433
Epoca 221 | RMS 1.16315
Epoca 222 | RMS 1.16195
Epoca 223 | RMS 1.16073
Epoca 224 | RMS 1.15948
Epoca 225 | RMS 1.15821
Epoca 226 | RMS 1.15691
Epoca 227 | RMS 1.15560
Epoca 228 | RMS 1.15427
Epoca 229 | RMS 1.15291
Epoca 230 | RMS 1.15154
Epoca 231 | RMS 1.15015
Epoca 232 | RMS 1.14875
Epoca 233 | RMS 1.14733
Epoca 234 | RMS 1.14591
Epoca 235 | RMS 1.14447
Epoca 236 | RMS 1.14302
Epoca 237 | RMS 1.14157
Epoca 238 | RMS 1.14012
Epoca 239 | RMS 1.13866
Epoca 240 | RMS 1.13720
Epoca 241 | RMS 1.13575
Epoca 242 | RMS 1.13430
Epoca 243 | RMS 1.13285
Epoca 244 | RMS 1.13142
Epoca 245 | RMS 1.12999
Epoca 246 | RMS 1.12858
Epoca 247 | RMS 1.12717
Epoca 248 | RMS 1.12578
Epoca 249 | RMS 1.12441
Epoca 250 | RMS 1.12305
Epoca 251 | RMS 1.12171
Epoca 252 | RMS 1.12038
Epoca 253 | RMS 1.11907
Epoca 254 | RMS 1.11778
Epoca 255 | RMS 1.11650
Epoca 256 | RMS 1.11525
Epoca 257 | RMS 1.11401
Epoca 258 | RMS 1.11279
Epoca 259 | RMS 1.11159
Epoca 260 | RMS 1.11041
Epoca 261 | RMS 1.10924
Epoca 262 | RMS 1.10809
Epoca 263 | RMS 1.10696
Epoca 264 | RMS 1.10585
Epoca 265 | RMS 1.10475
Epoca 266 | RMS 1.10366
Epoca 267 | RMS 1.10260
Epoca 268 | RMS 1.10154
Epoca 269 | RMS 1.10050
Epoca 270 | RMS 1.09948
Epoca 271 | RMS 1.09846
Epoca 272 | RMS 1.09746
Epoca 273 | RMS 1.09648
Epoca 274 | RMS 1.09550
Epoca 275 | RMS 1.09454
Epoca 276 | RMS 1.09358
Epoca 277 | RMS 1.09264
Epoca 278 | RMS 1.09171
Epoca 279 | RMS 1.09079
Epoca 280 | RMS 1.08987
Epoca 281 | RMS 1.08897
Epoca 282 | RMS 1.08807
Epoca 283 | RMS 1.08718
Epoca 284 | RMS 1.08630
Epoca 285 | RMS 1.08543
Epoca 286 | RMS 1.08456
Epoca 287 | RMS 1.08370
Epoca 288 | RMS 1.08285
Epoca 289 | RMS 1.08200
Epoca 290 | RMS 1.08116
Epoca 291 | RMS 1.08033
Epoca 292 | RMS 1.07950
Epoca 293 | RMS 1.07867
Epoca 294 | RMS 1.07785
Epoca 295 | RMS 1.07703
Epoca 296 | RMS 1.07622
Epoca 297 | RMS 1.07541
Epoca 298 | RMS 1.07461
Epoca 299 | RMS 1.07381
Epoca 300 | RMS 1.07301
Epoca 301 | RMS 1.07221
Epoca 302 | RMS 1.07142
Epoca 303 | RMS 1.07063
Epoca 304 | RMS 1.06985
Epoca 305 | RMS 1.06907
Epoca 306 | RMS 1.06829
Epoca 307 | RMS 1.06751
Epoca 308 | RMS 1.06673
Epoca 309 | RMS 1.06596
Epoca 310 | RMS 1.06519
Epoca 311 | RMS 1.06442
Epoca 312 | RMS 1.06365
Epoca 313 | RMS 1.06289
Epoca 314 | RMS 1.06212
Epoca 315 | RMS 1.06136
Epoca 316 | RMS 1.06060
Epoca 317 | RMS 1.05984
Epoca 318 | RMS 1.05909
Epoca 319 | RMS 1.05833
Epoca 320 | RMS 1.05758
Epoca 321 | RMS 1.05682
Epoca 322 | RMS 1.05607
Epoca 323 | RMS 1.05532
Epoca 324 | RMS 1.05458
Epoca 325 | RMS 1.05383
Epoca 326 | RMS 1.05308
Epoca 327 | RMS 1.05234
Epoca 328 | RMS 1.05159
Epoca 329 | RMS 1.05085
Epoca 330 | RMS 1.05011
Epoca 331 | RMS 1.04937
Epoca 332 | RMS 1.04863
Epoca 333 | RMS 1.04789
Epoca 334 | RMS 1.04715
Epoca 335 | RMS 1.04642
