-0.06 -0.14 0.40 -0.40 -0.15 -0.03 0.21 -0.34 0.49 
-0.26 -0.49 0.40 -0.42 -0.22 0.38 -0.30 0.49 0.19 
-0.11 -0.44 0.06 0.38 0.22 -0.29 0.16 -0.28 0.28 
0.07 -0.34 0.02 
0.25 0.11 0.38 
0.15 0.20 -0.27 -0.38 -0.09 

##################LEARN##################
Epoca 178, RMS = 0.06208
Epoca 179, RMS = 0.06156
Epoca 180, RMS = 0.06623
Epoca 181, RMS = 0.06383
Epoca 182, RMS = 0.06153
Epoca 183, RMS = 0.06602
Epoca 184, RMS = 0.06049
Epoca 185, RMS = 0.06503
Epoca 186, RMS = 0.06469
Epoca 187, RMS = 0.06140
Epoca 188, RMS = 0.06389
Epoca 189, RMS = 0.06284
Epoca 190, RMS = 0.06277
Epoca 191, RMS = 0.06537
Epoca 192, RMS = 0.06373
Epoca 193, RMS = 0.06046
Epoca 194, RMS = 0.06453
Epoca 195, RMS = 0.06539
Epoca 196, RMS = 0.06509
Epoca 197, RMS = 0.06587
Epoca 198, RMS = 0.05933
Epoca 199, RMS = 0.05867
Epoca 200, RMS = 0.06820
Epoca 201, RMS = 0.07780
Epoca 202, RMS = 0.06478
Epoca 203, RMS = 0.05952
Epoca 204, RMS = 0.05978
Epoca 205, RMS = 0.06209
Epoca 206, RMS = 0.08006
Epoca 207, RMS = 0.06900
Epoca 208, RMS = 0.06136
Epoca 209, RMS = 0.06005
Epoca 210, RMS = 0.07031
Epoca 211, RMS = 0.06974
Epoca 212, RMS = 0.06067
Epoca 213, RMS = 0.06013
Epoca 214, RMS = 0.07517
Epoca 215, RMS = 0.06312
Epoca 216, RMS = 0.05996
Epoca 217, RMS = 0.06404
Epoca 218, RMS = 0.06441
Epoca 219, RMS = 0.06205
Epoca 220, RMS = 0.06352
Epoca 221, RMS = 0.06243
Epoca 222, RMS = 0.06417
Epoca 223, RMS = 0.06101
Epoca 224, RMS = 0.06253
Epoca 225, RMS = 0.06410
Epoca 226, RMS = 0.06402
Epoca 227, RMS = 0.06108
Epoca 228, RMS = 0.06245
Epoca 229, RMS = 0.06513
Epoca 230, RMS = 0.06336
Epoca 231, RMS = 0.06253
Epoca 232, RMS = 0.06099
