0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 -0.48 -0.29 -0.35 -0.13 
0.03 -0.19 0.49 0.49 0.10 -0.35 
-0.35 0.21 -0.05 0.17 0.17 0.24 0.41 0.15 

##################LEARN##################
Epoca 179, RMS = 0.35730
Epoca 180, RMS = 0.35698
Epoca 181, RMS = 0.35664
Epoca 182, RMS = 0.35630
Epoca 183, RMS = 0.35595
Epoca 184, RMS = 0.35558
Epoca 185, RMS = 0.35521
Epoca 186, RMS = 0.35482
Epoca 187, RMS = 0.35443
Epoca 188, RMS = 0.35402
Epoca 189, RMS = 0.35360
Epoca 190, RMS = 0.35316
Epoca 191, RMS = 0.35271
Epoca 192, RMS = 0.35224
Epoca 193, RMS = 0.35175
Epoca 194, RMS = 0.35124
Epoca 195, RMS = 0.35072
Epoca 196, RMS = 0.35017
Epoca 197, RMS = 0.34960
Epoca 198, RMS = 0.34900
Epoca 199, RMS = 0.34838
Epoca 200, RMS = 0.34773
Epoca 201, RMS = 0.34706
Epoca 202, RMS = 0.34635
Epoca 203, RMS = 0.34561
Epoca 204, RMS = 0.34484
Epoca 205, RMS = 0.34403
Epoca 206, RMS = 0.34319
Epoca 207, RMS = 0.34231
Epoca 208, RMS = 0.34140
Epoca 209, RMS = 0.34045
Epoca 210, RMS = 0.33947
Epoca 211, RMS = 0.33845
Epoca 212, RMS = 0.33740
Epoca 213, RMS = 0.33632
Epoca 214, RMS = 0.33521
Epoca 215, RMS = 0.33408
Epoca 216, RMS = 0.33291
Epoca 217, RMS = 0.33172
Epoca 218, RMS = 0.33048
Epoca 219, RMS = 0.32921
Epoca 220, RMS = 0.32787
Epoca 221, RMS = 0.32647
Epoca 222, RMS = 0.32498
Epoca 223, RMS = 0.32340
Epoca 224, RMS = 0.32170
Epoca 225, RMS = 0.31990
Epoca 226, RMS = 0.31798
Epoca 227, RMS = 0.31596
Epoca 228, RMS = 0.31386
Epoca 229, RMS = 0.31170
Epoca 230, RMS = 0.30954
Epoca 231, RMS = 0.30747
Epoca 232, RMS = 0.30563
Epoca 233, RMS = 0.30423
Epoca 234, RMS = 0.30350
Epoca 235, RMS = 0.30357
Epoca 236, RMS = 0.30433
Epoca 237, RMS = 0.30537
Epoca 238, RMS = 0.30634
Epoca 239, RMS = 0.30720
Epoca 240, RMS = 0.30807
Epoca 241, RMS = 0.30895
Epoca 242, RMS = 0.30967
Epoca 243, RMS = 0.31008
Epoca 244, RMS = 0.31009
Epoca 245, RMS = 0.30973
Epoca 246, RMS = 0.30905
Epoca 247, RMS = 0.30813
Epoca 248, RMS = 0.30706
Epoca 249, RMS = 0.30589
Epoca 250, RMS = 0.30469
Epoca 251, RMS = 0.30348
Epoca 252, RMS = 0.30231
Epoca 253, RMS = 0.30119
Epoca 254, RMS = 0.30013
Epoca 255, RMS = 0.29914
Epoca 256, RMS = 0.29821
Epoca 257, RMS = 0.29734
Epoca 258, RMS = 0.29654
Epoca 259, RMS = 0.29580
Epoca 260, RMS = 0.29511
Epoca 261, RMS = 0.29447
Epoca 262, RMS = 0.29387
Epoca 263, RMS = 0.29332
Epoca 264, RMS = 0.29281
Epoca 265, RMS = 0.29234
Epoca 266, RMS = 0.29190
Epoca 267, RMS = 0.29149
Epoca 268, RMS = 0.29111
Epoca 269, RMS = 0.29077
Epoca 270, RMS = 0.29045
Epoca 271, RMS = 0.29016
Epoca 272, RMS = 0.28989
Epoca 273, RMS = 0.28964
Epoca 274, RMS = 0.28942
Epoca 275, RMS = 0.28922
Epoca 276, RMS = 0.28904
Epoca 277, RMS = 0.28888
Epoca 278, RMS = 0.28874
Epoca 279, RMS = 0.28862
Epoca 280, RMS = 0.28851
Epoca 281, RMS = 0.28843
Epoca 282, RMS = 0.28835
Epoca 283, RMS = 0.28829
Epoca 284, RMS = 0.28825
Epoca 285, RMS = 0.28822
Epoca 286, RMS = 0.28820
Epoca 287, RMS = 0.28819
Epoca 288, RMS = 0.28820
Epoca 289, RMS = 0.28822
Epoca 290, RMS = 0.28825
Epoca 291, RMS = 0.28829
Epoca 292, RMS = 0.28834
Epoca 293, RMS = 0.28839
Epoca 294, RMS = 0.28846
Epoca 295, RMS = 0.28854
Epoca 296, RMS = 0.28863
