0.09 0.10 -0.21 0.05 
0.48 0.40 -0.27 -0.19 
0.19 -0.48 
-0.36 0.48 
0.20 -0.10 
-0.26 -0.24 -0.36 -0.33 0.01 

##################LEARN##################
Epoca 74 | FALLOS = 104 69%
Epoca 75 | ACIERTOS = 46 31%
Epoca 75 | FALLOS = 104 69%
Epoca 76 | ACIERTOS = 46 31%
Epoca 76 | FALLOS = 104 69%
Epoca 77 | ACIERTOS = 46 31%
Epoca 77 | FALLOS = 104 69%
Epoca 78 | ACIERTOS = 46 31%
Epoca 78 | FALLOS = 104 69%
Epoca 79 | ACIERTOS = 46 31%
Epoca 79 | FALLOS = 104 69%
Epoca 80 | ACIERTOS = 46 31%
Epoca 80 | FALLOS = 104 69%
Epoca 81 | ACIERTOS = 46 31%
Epoca 81 | FALLOS = 104 69%
Epoca 82 | ACIERTOS = 46 31%
Epoca 82 | FALLOS = 104 69%
Epoca 83 | ACIERTOS = 46 31%
Epoca 83 | FALLOS = 104 69%
Epoca 84 | ACIERTOS = 46 31%
Epoca 84 | FALLOS = 104 69%
Epoca 85 | ACIERTOS = 46 31%
Epoca 85 | FALLOS = 104 69%
Epoca 86 | ACIERTOS = 46 31%
Epoca 86 | FALLOS = 104 69%
Epoca 87 | ACIERTOS = 46 31%
Epoca 87 | FALLOS = 104 69%
Epoca 88 | ACIERTOS = 46 31%
Epoca 88 | FALLOS = 104 69%
Epoca 89 | ACIERTOS = 46 31%
Epoca 89 | FALLOS = 104 69%
Epoca 90 | ACIERTOS = 46 31%
Epoca 90 | FALLOS = 104 69%
Epoca 91 | ACIERTOS = 42 28%
Epoca 91 | FALLOS = 108 72%
Epoca 92 | ACIERTOS = 46 31%
Epoca 92 | FALLOS = 104 69%
Epoca 93 | ACIERTOS = 46 31%
Epoca 93 | FALLOS = 104 69%
Epoca 94 | ACIERTOS = 46 31%
Epoca 94 | FALLOS = 104 69%
Epoca 95 | ACIERTOS = 46 31%
Epoca 95 | FALLOS = 104 69%
Epoca 96 | ACIERTOS = 46 31%
Epoca 96 | FALLOS = 104 69%
Epoca 97 | ACIERTOS = 46 31%
Epoca 97 | FALLOS = 104 69%
Epoca 98 | ACIERTOS = 46 31%
Epoca 98 | FALLOS = 104 69%
Epoca 99 | ACIERTOS = 46 31%
Epoca 99 | FALLOS = 104 69%
Epoca 100 | ACIERTOS = 46 31%
Epoca 100 | FALLOS = 104 69%
Epoca 101 | ACIERTOS = 46 31%
Epoca 101 | FALLOS = 104 69%
Epoca 102 | ACIERTOS = 46 31%
Epoca 102 | FALLOS = 104 69%
Epoca 103 | ACIERTOS = 46 31%
Epoca 103 | FALLOS = 104 69%
Epoca 104 | ACIERTOS = 46 31%
Epoca 104 | FALLOS = 104 69%
Epoca 105 | ACIERTOS = 46 31%
Epoca 105 | FALLOS = 104 69%
Epoca 106 | ACIERTOS = 46 31%
Epoca 106 | FALLOS = 104 69%
Epoca 107 | ACIERTOS = 46 31%
Epoca 107 | FALLOS = 104 69%
Epoca 108 | ACIERTOS = 46 31%
Epoca 108 | FALLOS = 104 69%
Epoca 109 | ACIERTOS = 46 31%
Epoca 109 | FALLOS = 104 69%
Epoca 110 | ACIERTOS = 46 31%
Epoca 110 | FALLOS = 104 69%
Epoca 111 | ACIERTOS = 46 31%
Epoca 111 | FALLOS = 104 69%
Epoca 112 | ACIERTOS = 46 31%
Epoca 112 | FALLOS = 104 69%
Epoca 113 | ACIERTOS = 46 31%
Epoca 113 | FALLOS = 104 69%
Epoca 114 | ACIERTOS = 46 31%
Epoca 114 | FALLOS = 104 69%
Epoca 115 | ACIERTOS = 46 31%
Epoca 115 | FALLOS = 104 69%
Epoca 116 | ACIERTOS = 46 31%
Epoca 116 | FALLOS = 104 69%
