0.35 -0.07 0.47 0.26 0.38 0.36 0.27 0.30 0.38 
-0.13 -0.48 -0.36 -0.20 0.49 0.19 0.43 0.11 0.32 
-0.01 -0.24 -0.32 0.19 -0.34 0.39 0.22 -0.17 0.25 
0.40 0.13 -0.35 -0.47 -0.02 0.08 0.50 -0.26 -0.04 
0.35 -0.49 -0.24 0.24 -0.12 -0.22 0.37 0.18 -0.23 
0.06 0.11 0.38 -0.12 -0.39 -0.36 0.06 0.30 -0.20 
-0.05 0.01 0.12 -0.30 -0.09 -0.25 -0.16 -0.06 0.23 
0.42 -0.06 0.47 -0.12 -0.21 0.48 0.14 -0.48 -0.14 
0.42 0.39 -0.46 -0.31 -0.04 0.15 -0.43 0.34 
0.26 -0.29 -0.10 0.06 0.01 0.35 -0.43 -0.36 
-0.45 -0.02 -0.11 -0.11 0.42 -0.38 -0.19 -0.14 -0.41 0.20 

##################LEARN##################
Epoca 162, RMS = 0.08000
Epoca 163, RMS = 0.08107
Epoca 164, RMS = 0.11235
Epoca 165, RMS = 0.14009
Epoca 166, RMS = 0.15527
Epoca 167, RMS = 0.10429
Epoca 168, RMS = 0.18229
Epoca 169, RMS = 0.15597
Epoca 170, RMS = 0.11943
Epoca 171, RMS = 0.16897
Epoca 172, RMS = 0.12546
Epoca 173, RMS = 0.10411
Epoca 174, RMS = 0.17766
Epoca 175, RMS = 0.16503
Epoca 176, RMS = 0.14886
Epoca 177, RMS = 0.18020
Epoca 178, RMS = 0.21470
Epoca 179, RMS = 0.19707
Epoca 180, RMS = 0.28840
Epoca 181, RMS = 0.23937
Epoca 182, RMS = 0.20270
Epoca 183, RMS = 0.20955
Epoca 184, RMS = 0.25075
Epoca 185, RMS = 0.09755
Epoca 186, RMS = 0.07850
Epoca 187, RMS = 0.11026
Epoca 188, RMS = 0.09448
Epoca 189, RMS = 0.07459
Epoca 190, RMS = 0.09730
Epoca 191, RMS = 0.07058
Epoca 192, RMS = 0.06916
Epoca 193, RMS = 0.06829
Epoca 194, RMS = 0.08808
Epoca 195, RMS = 0.07771
Epoca 196, RMS = 0.07114
Epoca 197, RMS = 0.07113
Epoca 198, RMS = 0.07126
Epoca 199, RMS = 0.16657
Epoca 200, RMS = 0.12555
Epoca 201, RMS = 0.15118
Epoca 202, RMS = 0.24040
Epoca 203, RMS = 0.17406
Epoca 204, RMS = 0.08715
Epoca 205, RMS = 0.07756
Epoca 206, RMS = 0.10662
Epoca 207, RMS = 0.13046
Epoca 208, RMS = 0.12988
Epoca 209, RMS = 0.13415
Epoca 210, RMS = 0.11413
Epoca 211, RMS = 0.12536
Epoca 212, RMS = 0.10329
Epoca 213, RMS = 0.07536
Epoca 214, RMS = 0.07419
Epoca 215, RMS = 0.07297
Epoca 216, RMS = 0.08282
Epoca 217, RMS = 0.19223
Epoca 218, RMS = 0.18858
Epoca 219, RMS = 0.11517
Epoca 220, RMS = 0.10113
Epoca 221, RMS = 0.09973
Epoca 222, RMS = 0.07430
Epoca 223, RMS = 0.09884
Epoca 224, RMS = 0.06848
Epoca 225, RMS = 0.06675
Epoca 226, RMS = 0.06594
Epoca 227, RMS = 0.09320
Epoca 228, RMS = 0.07102
Epoca 229, RMS = 0.07039
Epoca 230, RMS = 0.11214
Epoca 231, RMS = 0.06962
Epoca 232, RMS = 0.06840
Epoca 233, RMS = 0.06746
Epoca 234, RMS = 0.07924
Epoca 235, RMS = 0.06871
Epoca 236, RMS = 0.06878
Epoca 237, RMS = 0.09774
Epoca 238, RMS = 0.08623
Epoca 239, RMS = 0.15131
Epoca 240, RMS = 0.12164
Epoca 241, RMS = 0.09190
Epoca 242, RMS = 0.07360
Epoca 243, RMS = 0.09026
Epoca 244, RMS = 0.07427
Epoca 245, RMS = 0.07066
Epoca 246, RMS = 0.06857
Epoca 247, RMS = 0.06730
Epoca 248, RMS = 0.06631
Epoca 249, RMS = 0.08402
Epoca 250, RMS = 0.06944
Epoca 251, RMS = 0.06574
Epoca 252, RMS = 0.06517
Epoca 253, RMS = 0.07668
Epoca 254, RMS = 0.09690
Epoca 255, RMS = 0.09708
Epoca 256, RMS = 0.08719
Epoca 257, RMS = 0.11952
Epoca 258, RMS = 0.11682
Epoca 259, RMS = 0.11527
Epoca 260, RMS = 0.27054
Epoca 261, RMS = 0.12428
Epoca 262, RMS = 0.10117
Epoca 263, RMS = 0.09064
Epoca 264, RMS = 0.09149
Epoca 265, RMS = 0.07785
Epoca 266, RMS = 0.08044
Epoca 267, RMS = 0.06631
Epoca 268, RMS = 0.07409
Epoca 269, RMS = 0.08178
