0.01 -0.11 0.22 0.04 
0.32 0.18 -0.12 0.17 
0.03 -0.40 
0.47 0.18 
-0.03 0.30 
0.30 0.34 0.48 -0.14 -0.00 

##################LEARN##################
Epoca 74 | FALLOS = 94 63%
Epoca 75 | ACIERTOS = 56 37%
Epoca 75 | FALLOS = 94 63%
Epoca 76 | ACIERTOS = 56 37%
Epoca 76 | FALLOS = 94 63%
Epoca 77 | ACIERTOS = 56 37%
Epoca 77 | FALLOS = 94 63%
Epoca 78 | ACIERTOS = 56 37%
Epoca 78 | FALLOS = 94 63%
Epoca 79 | ACIERTOS = 56 37%
Epoca 79 | FALLOS = 94 63%
Epoca 80 | ACIERTOS = 56 37%
Epoca 80 | FALLOS = 94 63%
Epoca 81 | ACIERTOS = 56 37%
Epoca 81 | FALLOS = 94 63%
Epoca 82 | ACIERTOS = 56 37%
Epoca 82 | FALLOS = 94 63%
Epoca 83 | ACIERTOS = 56 37%
Epoca 83 | FALLOS = 94 63%
Epoca 84 | ACIERTOS = 56 37%
Epoca 84 | FALLOS = 94 63%
Epoca 85 | ACIERTOS = 56 37%
Epoca 85 | FALLOS = 94 63%
Epoca 86 | ACIERTOS = 56 37%
Epoca 86 | FALLOS = 94 63%
Epoca 87 | ACIERTOS = 56 37%
Epoca 87 | FALLOS = 94 63%
Epoca 88 | ACIERTOS = 56 37%
Epoca 88 | FALLOS = 94 63%
Epoca 89 | ACIERTOS = 56 37%
Epoca 89 | FALLOS = 94 63%
Epoca 90 | ACIERTOS = 56 37%
Epoca 90 | FALLOS = 94 63%
Epoca 91 | ACIERTOS = 56 37%
Epoca 91 | FALLOS = 94 63%
Epoca 92 | ACIERTOS = 56 37%
Epoca 92 | FALLOS = 94 63%
Epoca 93 | ACIERTOS = 56 37%
Epoca 93 | FALLOS = 94 63%
Epoca 94 | ACIERTOS = 56 37%
Epoca 94 | FALLOS = 94 63%
Epoca 95 | ACIERTOS = 56 37%
Epoca 95 | FALLOS = 94 63%
Epoca 96 | ACIERTOS = 56 37%
Epoca 96 | FALLOS = 94 63%
Epoca 97 | ACIERTOS = 56 37%
Epoca 97 | FALLOS = 94 63%
Epoca 98 | ACIERTOS = 56 37%
Epoca 98 | FALLOS = 94 63%
Epoca 99 | ACIERTOS = 56 37%
Epoca 99 | FALLOS = 94 63%
Epoca 100 | ACIERTOS = 56 37%
Epoca 100 | FALLOS = 94 63%
Epoca 101 | ACIERTOS = 56 37%
Epoca 101 | FALLOS = 94 63%
Epoca 102 | ACIERTOS = 56 37%
Epoca 102 | FALLOS = 94 63%
Epoca 103 | ACIERTOS = 56 37%
Epoca 103 | FALLOS = 94 63%
Epoca 104 | ACIERTOS = 56 37%
Epoca 104 | FALLOS = 94 63%
Epoca 105 | ACIERTOS = 56 37%
Epoca 105 | FALLOS = 94 63%
Epoca 106 | ACIERTOS = 56 37%
Epoca 106 | FALLOS = 94 63%
Epoca 107 | ACIERTOS = 56 37%
Epoca 107 | FALLOS = 94 63%
Epoca 108 | ACIERTOS = 56 37%
Epoca 108 | FALLOS = 94 63%
Epoca 109 | ACIERTOS = 56 37%
Epoca 109 | FALLOS = 94 63%
Epoca 110 | ACIERTOS = 56 37%
Epoca 110 | FALLOS = 94 63%
Epoca 111 | ACIERTOS = 56 37%
Epoca 111 | FALLOS = 94 63%
Epoca 112 | ACIERTOS = 56 37%
Epoca 112 | FALLOS = 94 63%
Epoca 113 | ACIERTOS = 56 37%
Epoca 113 | FALLOS = 94 63%
Epoca 114 | ACIERTOS = 56 37%
Epoca 114 | FALLOS = 94 63%
Epoca 115 | ACIERTOS = 56 37%
Epoca 115 | FALLOS = 94 63%
Epoca 116 | ACIERTOS = 56 37%
Epoca 116 | FALLOS = 94 63%
Epoca 117 | ACIERTOS = 56 37%
Epoca 117 | FALLOS = 94 63%
Epoca 118 | ACIERTOS = 56 37%
Epoca 118 | FALLOS = 94 63%
Epoca 119 | ACIERTOS = 56 37%
Epoca 119 | FALLOS = 94 63%
Epoca 120 | ACIERTOS = 56 37%
Epoca 120 | FALLOS = 94 63%
Epoca 121 | ACIERTOS = 56 37%
Epoca 121 | FALLOS = 94 63%
Epoca 122 | ACIERTOS = 56 37%
Epoca 122 | FALLOS = 94 63%
Epoca 123 | ACIERTOS = 56 37%
Epoca 123 | FALLOS = 94 63%
Epoca 124 | ACIERTOS = 56 37%
Epoca 124 | FALLOS = 94 63%
Epoca 125 | ACIERTOS = 56 37%
Epoca 125 | FALLOS = 94 63%
Epoca 126 | ACIERTOS = 56 37%
Epoca 126 | FALLOS = 94 63%
Epoca 127 | ACIERTOS = 56 37%
Epoca 127 | FALLOS = 94 63%
Epoca 128 | ACIERTOS = 56 37%
Epoca 128 | FALLOS = 94 63%
Epoca 129 | ACIERTOS = 56 37%
Epoca 129 | FALLOS = 94 63%
Epoca 130 | ACIERTOS = 56 37%
Epoca 130 | FALLOS = 94 63%
Epoca 131 | ACIERTOS = 56 37%
Epoca 131 | FALLOS = 94 63%
Epoca 132 | ACIERTOS = 56 37%
Epoca 132 | FALLOS = 94 63%
Epoca 133 | ACIERTOS = 56 37%
Epoca 133 | FALLOS = 94 63%
Epoca 134 | ACIERTOS = 56 37%
Epoca 134 | FALLOS = 94 63%
Epoca 135 | ACIERTOS = 56 37%
Epoca 135 | FALLOS = 94 63%
Epoca 136 | ACIERTOS = 56 37%
Epoca 136 | FALLOS = 94 63%
Epoca 137 | ACIERTOS = 56 37%
Epoca 137 | FALLOS = 94 63%
Epoca 138 | ACIERTOS = 56 37%
Epoca 138 | FALLOS = 94 63%
Epoca 139 | ACIERTOS = 56 37%
Epoca 139 | FALLOS = 94 63%
Epoca 140 | ACIERTOS = 56 37%
Epoca 140 | FALLOS = 94 63%
Epoca 141 | ACIERTOS = 56 37%
Epoca 141 | FALLOS = 94 63%
Epoca 142 | ACIERTOS = 56 37%
Epoca 142 | FALLOS = 94 63%
Epoca 143 | ACIERTOS = 56 37%
Epoca 143 | FALLOS = 94 63%
Epoca 144 | ACIERTOS = 56 37%
Epoca 144 | FALLOS = 94 63%
Epoca 145 | ACIERTOS = 56 37%
Epoca 145 | FALLOS = 94 63%
Epoca 146 | ACIERTOS = 56 37%
Epoca 146 | FALLOS = 94 63%
Epoca 147 | ACIERTOS = 56 37%
Epoca 147 | FALLOS = 94 63%
Epoca 148 | ACIERTOS = 56 37%
Epoca 148 | FALLOS = 94 63%
Epoca 149 | ACIERTOS = 56 37%
Epoca 149 | FALLOS = 94 63%
Epoca 150 | ACIERTOS = 56 37%
Epoca 150 | FALLOS = 94 63%
Epoca 151 | ACIERTOS = 56 37%
Epoca 151 | FALLOS = 94 63%
Epoca 152 | ACIERTOS = 56 37%
Epoca 152 | FALLOS = 94 63%
Epoca 153 | ACIERTOS = 56 37%
Epoca 153 | FALLOS = 94 63%
Epoca 154 | ACIERTOS = 56 37%
Epoca 154 | FALLOS = 94 63%
Epoca 155 | ACIERTOS = 56 37%
Epoca 155 | FALLOS = 94 63%
Epoca 156 | ACIERTOS = 56 37%
Epoca 156 | FALLOS = 94 63%
Epoca 157 | ACIERTOS = 56 37%
Epoca 157 | FALLOS = 94 63%
Epoca 158 | ACIERTOS = 56 37%
Epoca 158 | FALLOS = 94 63%
Epoca 159 | ACIERTOS = 56 37%
Epoca 159 | FALLOS = 94 63%
Epoca 160 | ACIERTOS = 56 37%
Epoca 160 | FALLOS = 94 63%
Epoca 161 | ACIERTOS = 56 37%
Epoca 161 | FALLOS = 94 63%
Epoca 162 | ACIERTOS = 56 37%
Epoca 162 | FALLOS = 94 63%
Epoca 163 | ACIERTOS = 56 37%
Epoca 163 | FALLOS = 94 63%
Epoca 164 | ACIERTOS = 56 37%
Epoca 164 | FALLOS = 94 63%
Epoca 165 | ACIERTOS = 56 37%
Epoca 165 | FALLOS = 94 63%
Epoca 166 | ACIERTOS = 56 37%
Epoca 166 | FALLOS = 94 63%
Epoca 167 | ACIERTOS = 56 37%
Epoca 167 | FALLOS = 94 63%
Epoca 168 | ACIERTOS = 56 37%
Epoca 168 | FALLOS = 94 63%
Epoca 169 | ACIERTOS = 56 37%
Epoca 169 | FALLOS = 94 63%
Epoca 170 | ACIERTOS = 56 37%
Epoca 170 | FALLOS = 94 63%
Epoca 171 | ACIERTOS = 56 37%
Epoca 171 | FALLOS = 94 63%
Epoca 172 | ACIERTOS = 56 37%
Epoca 172 | FALLOS = 94 63%
Epoca 173 | ACIERTOS = 56 37%
Epoca 173 | FALLOS = 94 63%
Epoca 174 | ACIERTOS = 56 37%
Epoca 174 | FALLOS = 94 63%
Epoca 175 | ACIERTOS = 56 37%
Epoca 175 | FALLOS = 94 63%
Epoca 176 | ACIERTOS = 56 37%
Epoca 176 | FALLOS = 94 63%
Epoca 177 | ACIERTOS = 56 37%
Epoca 177 | FALLOS = 94 63%
Epoca 178 | ACIERTOS = 56 37%
Epoca 178 | FALLOS = 94 63%
Epoca 179 | ACIERTOS = 56 37%
Epoca 179 | FALLOS = 94 63%
Epoca 180 | ACIERTOS = 56 37%
Epoca 180 | FALLOS = 94 63%
Epoca 181 | ACIERTOS = 56 37%
Epoca 181 | FALLOS = 94 63%
Epoca 182 | ACIERTOS = 56 37%
Epoca 182 | FALLOS = 94 63%
Epoca 183 | ACIERTOS = 56 37%
Epoca 183 | FALLOS = 94 63%
Epoca 184 | ACIERTOS = 56 37%
Epoca 184 | FALLOS = 94 63%
Epoca 185 | ACIERTOS = 56 37%
Epoca 185 | FALLOS = 94 63%
Epoca 186 | ACIERTOS = 56 37%
Epoca 186 | FALLOS = 94 63%
Epoca 187 | ACIERTOS = 56 37%
Epoca 187 | FALLOS = 94 63%
Epoca 188 | ACIERTOS = 56 37%
Epoca 188 | FALLOS = 94 63%
Epoca 189 | ACIERTOS = 56 37%
Epoca 189 | FALLOS = 94 63%
Epoca 190 | ACIERTOS = 56 37%
Epoca 190 | FALLOS = 94 63%
Epoca 191 | ACIERTOS = 56 37%
Epoca 191 | FALLOS = 94 63%
Epoca 192 | ACIERTOS = 56 37%
Epoca 192 | FALLOS = 94 63%
Epoca 193 | ACIERTOS = 56 37%
