0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.75405
Epoca 2, RMS = 0.65308
Epoca 3, RMS = 0.60071
Epoca 4, RMS = 0.57211
Epoca 5, RMS = 0.55554
Epoca 6, RMS = 0.54551
Epoca 7, RMS = 0.53937
Epoca 8, RMS = 0.53567
Epoca 9, RMS = 0.53355
Epoca 10, RMS = 0.53247
Epoca 11, RMS = 0.53201
Epoca 12, RMS = 0.53193
Epoca 13, RMS = 0.53204
Epoca 14, RMS = 0.53224
Epoca 15, RMS = 0.53246
Epoca 16, RMS = 0.53268
Epoca 17, RMS = 0.53286
Epoca 18, RMS = 0.53300
Epoca 19, RMS = 0.53310
Epoca 20, RMS = 0.53315
Epoca 21, RMS = 0.53315
Epoca 22, RMS = 0.53310
Epoca 23, RMS = 0.53298
Epoca 24, RMS = 0.53279
Epoca 25, RMS = 0.53252
Epoca 26, RMS = 0.53215
Epoca 27, RMS = 0.53167
Epoca 28, RMS = 0.53106
Epoca 29, RMS = 0.53031
Epoca 30, RMS = 0.52943
Epoca 31, RMS = 0.52844
Epoca 32, RMS = 0.52739
Epoca 33, RMS = 0.52642
Epoca 34, RMS = 0.52568
Epoca 35, RMS = 0.52538
Epoca 36, RMS = 0.52561
Epoca 37, RMS = 0.52631
Epoca 38, RMS = 0.52726
Epoca 39, RMS = 0.52823
Epoca 40, RMS = 0.52908
Epoca 41, RMS = 0.52974
Epoca 42, RMS = 0.53021
Epoca 43, RMS = 0.53052
Epoca 44, RMS = 0.53068
Epoca 45, RMS = 0.53072
Epoca 46, RMS = 0.53065
Epoca 47, RMS = 0.53048
Epoca 48, RMS = 0.53021
Epoca 49, RMS = 0.52985
Epoca 50, RMS = 0.52939
Epoca 51, RMS = 0.52883
Epoca 52, RMS = 0.52819
Epoca 53, RMS = 0.52747
Epoca 54, RMS = 0.52669
Epoca 55, RMS = 0.52591
Epoca 56, RMS = 0.52519
Epoca 57, RMS = 0.52459
Epoca 58, RMS = 0.52422
Epoca 59, RMS = 0.52412
Epoca 60, RMS = 0.52431
Epoca 61, RMS = 0.52476
Epoca 62, RMS = 0.52538
Epoca 63, RMS = 0.52611
Epoca 64, RMS = 0.52686
Epoca 65, RMS = 0.52759
Epoca 66, RMS = 0.52827
Epoca 67, RMS = 0.52887
Epoca 68, RMS = 0.52938
Epoca 69, RMS = 0.52980
Epoca 70, RMS = 0.53013
Epoca 71, RMS = 0.53037
Epoca 72, RMS = 0.53052
Epoca 73, RMS = 0.53057
Epoca 74, RMS = 0.53054
Epoca 75, RMS = 0.53041
Epoca 76, RMS = 0.53020
Epoca 77, RMS = 0.52989
Epoca 78, RMS = 0.52949
Epoca 79, RMS = 0.52900
Epoca 80, RMS = 0.52843
Epoca 81, RMS = 0.52777
Epoca 82, RMS = 0.52706
Epoca 83, RMS = 0.52632
Epoca 84, RMS = 0.52561
Epoca 85, RMS = 0.52498
Epoca 86, RMS = 0.52451
Epoca 87, RMS = 0.52426
Epoca 88, RMS = 0.52424
Epoca 89, RMS = 0.52445
Epoca 90, RMS = 0.52481
Epoca 91, RMS = 0.52526
Epoca 92, RMS = 0.52573
Epoca 93, RMS = 0.52617
Epoca 94, RMS = 0.52654
Epoca 95, RMS = 0.52682
Epoca 96, RMS = 0.52702
Epoca 97, RMS = 0.52713
Epoca 98, RMS = 0.52715
Epoca 99, RMS = 0.52708
Epoca 100, RMS = 0.52693
Epoca 101, RMS = 0.52670
Epoca 102, RMS = 0.52640
Epoca 103, RMS = 0.52604
Epoca 104, RMS = 0.52564
Epoca 105, RMS = 0.52523
Epoca 106, RMS = 0.52484
Epoca 107, RMS = 0.52451
Epoca 108, RMS = 0.52428
Epoca 109, RMS = 0.52420
Epoca 110, RMS = 0.52427
Epoca 111, RMS = 0.52449
Epoca 112, RMS = 0.52485
Epoca 113, RMS = 0.52529
Epoca 114, RMS = 0.52579
Epoca 115, RMS = 0.52630
Epoca 116, RMS = 0.52679
Epoca 117, RMS = 0.52725
Epoca 118, RMS = 0.52766
Epoca 119, RMS = 0.52802
Epoca 120, RMS = 0.52832
Epoca 121, RMS = 0.52855
Epoca 122, RMS = 0.52872
Epoca 123, RMS = 0.52882
Epoca 124, RMS = 0.52886
Epoca 125, RMS = 0.52883
Epoca 126, RMS = 0.52873
Epoca 127, RMS = 0.52856
Epoca 128, RMS = 0.52832
Epoca 129, RMS = 0.52801
Epoca 130, RMS = 0.52763
Epoca 131, RMS = 0.52719
Epoca 132, RMS = 0.52670
Epoca 133, RMS = 0.52618
Epoca 134, RMS = 0.52565
Epoca 135, RMS = 0.52515
Epoca 136, RMS = 0.52470
Epoca 137, RMS = 0.52435
Epoca 138, RMS = 0.52413
Epoca 139, RMS = 0.52404
Epoca 140, RMS = 0.52408
Epoca 141, RMS = 0.52424
Epoca 142, RMS = 0.52449
Epoca 143, RMS = 0.52479
Epoca 144, RMS = 0.52511
Epoca 145, RMS = 0.52542
Epoca 146, RMS = 0.52571
Epoca 147, RMS = 0.52595
Epoca 148, RMS = 0.52614
Epoca 149, RMS = 0.52626
Epoca 150, RMS = 0.52632
Epoca 151, RMS = 0.52632
Epoca 152, RMS = 0.52625
Epoca 153, RMS = 0.52613
Epoca 154, RMS = 0.52597
Epoca 155, RMS = 0.52579
Epoca 156, RMS = 0.52560
Epoca 157, RMS = 0.52543
Epoca 158, RMS = 0.52531
Epoca 159, RMS = 0.52524
Epoca 160, RMS = 0.52525
Epoca 161, RMS = 0.52532
Epoca 162, RMS = 0.52545
Epoca 163, RMS = 0.52563
Epoca 164, RMS = 0.52585
Epoca 165, RMS = 0.52608
Epoca 166, RMS = 0.52630
Epoca 167, RMS = 0.52652
Epoca 168, RMS = 0.52671
Epoca 169, RMS = 0.52687
Epoca 170, RMS = 0.52700
Epoca 171, RMS = 0.52710
Epoca 172, RMS = 0.52717
Epoca 173, RMS = 0.52720
Epoca 174, RMS = 0.52721
Epoca 175, RMS = 0.52719
Epoca 176, RMS = 0.52714
Epoca 177, RMS = 0.52706
Epoca 178, RMS = 0.52694
Epoca 179, RMS = 0.52679
Epoca 180, RMS = 0.52660
Epoca 181, RMS = 0.52638
Epoca 182, RMS = 0.52612
Epoca 183, RMS = 0.52584
Epoca 184, RMS = 0.52553
Epoca 185, RMS = 0.52523
Epoca 186, RMS = 0.52493
Epoca 187, RMS = 0.52466
Epoca 188, RMS = 0.52442
Epoca 189, RMS = 0.52423
Epoca 190, RMS = 0.52409
Epoca 191, RMS = 0.52400
Epoca 192, RMS = 0.52397
Epoca 193, RMS = 0.52398
Epoca 194, RMS = 0.52404
Epoca 195, RMS = 0.52413
Epoca 196, RMS = 0.52426
Epoca 197, RMS = 0.52441
Epoca 198, RMS = 0.52458
Epoca 199, RMS = 0.52475
Epoca 200, RMS = 0.52492
Epoca 201, RMS = 0.52508
Epoca 202, RMS = 0.52523
Epoca 203, RMS = 0.52535
Epoca 204, RMS = 0.52547
Epoca 205, RMS = 0.52556
Epoca 206, RMS = 0.52565
Epoca 207, RMS = 0.52573
Epoca 208, RMS = 0.52581
Epoca 209, RMS = 0.52589
Epoca 210, RMS = 0.52598
Epoca 211, RMS = 0.52607
Epoca 212, RMS = 0.52616
Epoca 213, RMS = 0.52625
Epoca 214, RMS = 0.52632
