0.09 0.10 -0.21 0.05 
0.48 0.40 -0.27 -0.19 
0.19 -0.48 -0.36 0.48 
0.20 -0.10 -0.26 
-0.24 -0.36 -0.33 
0.01 -0.30 0.48 
-0.44 0.42 -0.10 -0.49 0.06 0.29 

##################LEARN##################
Epoca 73 | FALLOS = 102 68%
Epoca 74 | ACIERTOS = 48 32%
Epoca 74 | FALLOS = 102 68%
Epoca 75 | ACIERTOS = 48 32%
Epoca 75 | FALLOS = 102 68%
Epoca 76 | ACIERTOS = 48 32%
Epoca 76 | FALLOS = 102 68%
Epoca 77 | ACIERTOS = 48 32%
Epoca 77 | FALLOS = 102 68%
Epoca 78 | ACIERTOS = 48 32%
Epoca 78 | FALLOS = 102 68%
Epoca 79 | ACIERTOS = 48 32%
Epoca 79 | FALLOS = 102 68%
Epoca 80 | ACIERTOS = 48 32%
Epoca 80 | FALLOS = 102 68%
Epoca 81 | ACIERTOS = 48 32%
Epoca 81 | FALLOS = 102 68%
Epoca 82 | ACIERTOS = 48 32%
Epoca 82 | FALLOS = 102 68%
Epoca 83 | ACIERTOS = 48 32%
Epoca 83 | FALLOS = 102 68%
Epoca 84 | ACIERTOS = 48 32%
Epoca 84 | FALLOS = 102 68%
Epoca 85 | ACIERTOS = 48 32%
Epoca 85 | FALLOS = 102 68%
Epoca 86 | ACIERTOS = 48 32%
Epoca 86 | FALLOS = 102 68%
Epoca 87 | ACIERTOS = 48 32%
Epoca 87 | FALLOS = 102 68%
Epoca 88 | ACIERTOS = 48 32%
Epoca 88 | FALLOS = 102 68%
Epoca 89 | ACIERTOS = 48 32%
Epoca 89 | FALLOS = 102 68%
Epoca 90 | ACIERTOS = 48 32%
Epoca 90 | FALLOS = 102 68%
Epoca 91 | ACIERTOS = 48 32%
Epoca 91 | FALLOS = 102 68%
Epoca 92 | ACIERTOS = 48 32%
Epoca 92 | FALLOS = 102 68%
Epoca 93 | ACIERTOS = 48 32%
Epoca 93 | FALLOS = 102 68%
Epoca 94 | ACIERTOS = 48 32%
Epoca 94 | FALLOS = 102 68%
Epoca 95 | ACIERTOS = 48 32%
Epoca 95 | FALLOS = 102 68%
Epoca 96 | ACIERTOS = 48 32%
Epoca 96 | FALLOS = 102 68%
Epoca 97 | ACIERTOS = 48 32%
Epoca 97 | FALLOS = 102 68%
Epoca 98 | ACIERTOS = 48 32%
Epoca 98 | FALLOS = 102 68%
Epoca 99 | ACIERTOS = 48 32%
Epoca 99 | FALLOS = 102 68%
