0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.75993
Epoca 2, RMS = 0.62928
Epoca 3, RMS = 0.58214
Epoca 4, RMS = 0.56255
Epoca 5, RMS = 0.55384
Epoca 6, RMS = 0.55025
Epoca 7, RMS = 0.54922
Epoca 8, RMS = 0.54937
Epoca 9, RMS = 0.54997
Epoca 10, RMS = 0.55058
Epoca 11, RMS = 0.55101
Epoca 12, RMS = 0.55114
Epoca 13, RMS = 0.55094
Epoca 14, RMS = 0.55036
Epoca 15, RMS = 0.54939
Epoca 16, RMS = 0.54801
Epoca 17, RMS = 0.54626
Epoca 18, RMS = 0.54424
Epoca 19, RMS = 0.54222
Epoca 20, RMS = 0.54067
Epoca 21, RMS = 0.54009
Epoca 22, RMS = 0.54066
Epoca 23, RMS = 0.54204
Epoca 24, RMS = 0.54361
Epoca 25, RMS = 0.54491
Epoca 26, RMS = 0.54574
Epoca 27, RMS = 0.54606
Epoca 28, RMS = 0.54587
Epoca 29, RMS = 0.54522
Epoca 30, RMS = 0.54418
Epoca 31, RMS = 0.54282
Epoca 32, RMS = 0.54131
Epoca 33, RMS = 0.53992
Epoca 34, RMS = 0.53903
Epoca 35, RMS = 0.53898
Epoca 36, RMS = 0.53989
Epoca 37, RMS = 0.54151
Epoca 38, RMS = 0.54344
Epoca 39, RMS = 0.54533
Epoca 40, RMS = 0.54695
Epoca 41, RMS = 0.54819
Epoca 42, RMS = 0.54903
Epoca 43, RMS = 0.54944
Epoca 44, RMS = 0.54944
Epoca 45, RMS = 0.54901
Epoca 46, RMS = 0.54816
Epoca 47, RMS = 0.54689
Epoca 48, RMS = 0.54523
Epoca 49, RMS = 0.54329
Epoca 50, RMS = 0.54131
Epoca 51, RMS = 0.53972
Epoca 52, RMS = 0.53902
Epoca 53, RMS = 0.53942
Epoca 54, RMS = 0.54063
Epoca 55, RMS = 0.54211
Epoca 56, RMS = 0.54340
Epoca 57, RMS = 0.54428
Epoca 58, RMS = 0.54472
Epoca 59, RMS = 0.54472
Epoca 60, RMS = 0.54433
Epoca 61, RMS = 0.54358
Epoca 62, RMS = 0.54256
Epoca 63, RMS = 0.54139
Epoca 64, RMS = 0.54033
Epoca 65, RMS = 0.53972
Epoca 66, RMS = 0.53987
Epoca 67, RMS = 0.54082
Epoca 68, RMS = 0.54234
Epoca 69, RMS = 0.54406
Epoca 70, RMS = 0.54567
Epoca 71, RMS = 0.54701
Epoca 72, RMS = 0.54801
Epoca 73, RMS = 0.54865
Epoca 74, RMS = 0.54892
Epoca 75, RMS = 0.54884
Epoca 76, RMS = 0.54840
Epoca 77, RMS = 0.54759
Epoca 78, RMS = 0.54642
Epoca 79, RMS = 0.54489
Epoca 80, RMS = 0.54309
Epoca 81, RMS = 0.54123
Epoca 82, RMS = 0.53968
Epoca 83, RMS = 0.53888
Epoca 84, RMS = 0.53911
Epoca 85, RMS = 0.54017
Epoca 86, RMS = 0.54161
