0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.71940
Epoca 2, RMS = 0.53725
Epoca 3, RMS = 0.45732
Epoca 4, RMS = 0.42240
Epoca 5, RMS = 0.40855
Epoca 6, RMS = 0.40341
Epoca 7, RMS = 0.40160
Epoca 8, RMS = 0.40099
Epoca 9, RMS = 0.40077
Epoca 10, RMS = 0.40060
Epoca 11, RMS = 0.40034
Epoca 12, RMS = 0.39991
Epoca 13, RMS = 0.39926
Epoca 14, RMS = 0.39836
Epoca 15, RMS = 0.39717
Epoca 16, RMS = 0.39565
Epoca 17, RMS = 0.39376
Epoca 18, RMS = 0.39149
Epoca 19, RMS = 0.38880
Epoca 20, RMS = 0.38571
Epoca 21, RMS = 0.38233
Epoca 22, RMS = 0.37893
Epoca 23, RMS = 0.37610
Epoca 24, RMS = 0.37482
Epoca 25, RMS = 0.37613
Epoca 26, RMS = 0.38006
Epoca 27, RMS = 0.38483
Epoca 28, RMS = 0.38803
Epoca 29, RMS = 0.38859
Epoca 30, RMS = 0.38679
Epoca 31, RMS = 0.38331
Epoca 32, RMS = 0.37863
Epoca 33, RMS = 0.37311
Epoca 34, RMS = 0.36704
Epoca 35, RMS = 0.36090
Epoca 36, RMS = 0.35534
Epoca 37, RMS = 0.35091
Epoca 38, RMS = 0.34711
Epoca 39, RMS = 0.34226
Epoca 40, RMS = 0.33563
Epoca 41, RMS = 0.32849
Epoca 42, RMS = 0.32221
Epoca 43, RMS = 0.31699
Epoca 44, RMS = 0.31248
Epoca 45, RMS = 0.30813
Epoca 46, RMS = 0.30344
Epoca 47, RMS = 0.29811
Epoca 48, RMS = 0.29211
Epoca 49, RMS = 0.28553
Epoca 50, RMS = 0.27845
Epoca 51, RMS = 0.27098
Epoca 52, RMS = 0.26319
Epoca 53, RMS = 0.25517
Epoca 54, RMS = 0.24703
Epoca 55, RMS = 0.23888
Epoca 56, RMS = 0.23083
Epoca 57, RMS = 0.22299
Epoca 58, RMS = 0.21546
Epoca 59, RMS = 0.20835
Epoca 60, RMS = 0.20172
Epoca 61, RMS = 0.19559
Epoca 62, RMS = 0.18995
Epoca 63, RMS = 0.18478
Epoca 64, RMS = 0.18005
Epoca 65, RMS = 0.17576
Epoca 66, RMS = 0.17187
Epoca 67, RMS = 0.16832
Epoca 68, RMS = 0.16503
Epoca 69, RMS = 0.16193
Epoca 70, RMS = 0.15900
Epoca 71, RMS = 0.15621
Epoca 72, RMS = 0.15350
