-0.40 -0.14 -0.42 0.43 
-0.30 0.32 -0.07 -0.42 
0.23 0.47 -0.50 0.14 
-0.27 -0.34 -0.03 0.04 
-0.34 0.10 0.11 0.08 
0.11 0.33 -0.25 -0.35 
0.33 0.30 -0.34 -0.32 0.49 -0.09 
0.15 -0.41 0.27 0.23 -0.48 0.47 
0.06 -0.04 -0.45 -0.21 -0.07 -0.45 
0.43 0.15 -0.29 -0.11 -0.31 -0.12 0.49 0.30 0.45 

##################LEARN##################
Epoca 71 | ACIERTOS = 55 37%
Epoca 71 | FALLOS = 95 63%
Epoca 72 | ACIERTOS = 54 36%
Epoca 72 | FALLOS = 96 64%
Epoca 73 | ACIERTOS = 50 33%
Epoca 73 | FALLOS = 100 67%
Epoca 74 | ACIERTOS = 54 36%
Epoca 74 | FALLOS = 96 64%
Epoca 75 | ACIERTOS = 54 36%
Epoca 75 | FALLOS = 96 64%
Epoca 76 | ACIERTOS = 54 36%
Epoca 76 | FALLOS = 96 64%
Epoca 77 | ACIERTOS = 54 36%
Epoca 77 | FALLOS = 96 64%
Epoca 78 | ACIERTOS = 54 36%
Epoca 78 | FALLOS = 96 64%
Epoca 79 | ACIERTOS = 54 36%
Epoca 79 | FALLOS = 96 64%
Epoca 80 | ACIERTOS = 54 36%
Epoca 80 | FALLOS = 96 64%
Epoca 81 | ACIERTOS = 54 36%
Epoca 81 | FALLOS = 96 64%
Epoca 82 | ACIERTOS = 54 36%
Epoca 82 | FALLOS = 96 64%
Epoca 83 | ACIERTOS = 54 36%
Epoca 83 | FALLOS = 96 64%
Epoca 84 | ACIERTOS = 54 36%
Epoca 84 | FALLOS = 96 64%
Epoca 85 | ACIERTOS = 54 36%
Epoca 85 | FALLOS = 96 64%
Epoca 86 | ACIERTOS = 54 36%
Epoca 86 | FALLOS = 96 64%
Epoca 87 | ACIERTOS = 54 36%
Epoca 87 | FALLOS = 96 64%
Epoca 88 | ACIERTOS = 54 36%
Epoca 88 | FALLOS = 96 64%
Epoca 89 | ACIERTOS = 54 36%
Epoca 89 | FALLOS = 96 64%
Epoca 90 | ACIERTOS = 54 36%
Epoca 90 | FALLOS = 96 64%
Epoca 91 | ACIERTOS = 54 36%
Epoca 91 | FALLOS = 96 64%
Epoca 92 | ACIERTOS = 54 36%
Epoca 92 | FALLOS = 96 64%
Epoca 93 | ACIERTOS = 54 36%
Epoca 93 | FALLOS = 96 64%
Epoca 94 | ACIERTOS = 54 36%
Epoca 94 | FALLOS = 96 64%
Epoca 95 | ACIERTOS = 54 36%
Epoca 95 | FALLOS = 96 64%
Epoca 96 | ACIERTOS = 54 36%
Epoca 96 | FALLOS = 96 64%
Epoca 97 | ACIERTOS = 54 36%
Epoca 97 | FALLOS = 96 64%
Epoca 98 | ACIERTOS = 54 36%
Epoca 98 | FALLOS = 96 64%
Epoca 99 | ACIERTOS = 54 36%
Epoca 99 | FALLOS = 96 64%
Epoca 100 | ACIERTOS = 54 36%
Epoca 100 | FALLOS = 96 64%
Epoca 101 | ACIERTOS = 54 36%
Epoca 101 | FALLOS = 96 64%
Epoca 102 | ACIERTOS = 54 36%
Epoca 102 | FALLOS = 96 64%
Epoca 103 | ACIERTOS = 54 36%
Epoca 103 | FALLOS = 96 64%
Epoca 104 | ACIERTOS = 54 36%
Epoca 104 | FALLOS = 96 64%
Epoca 105 | ACIERTOS = 55 37%
Epoca 105 | FALLOS = 95 63%
Epoca 106 | ACIERTOS = 54 36%
Epoca 106 | FALLOS = 96 64%
Epoca 107 | ACIERTOS = 54 36%
Epoca 107 | FALLOS = 96 64%
Epoca 108 | ACIERTOS = 54 36%
Epoca 108 | FALLOS = 96 64%
Epoca 109 | ACIERTOS = 54 36%
Epoca 109 | FALLOS = 96 64%
Epoca 110 | ACIERTOS = 54 36%
Epoca 110 | FALLOS = 96 64%
Epoca 111 | ACIERTOS = 54 36%
Epoca 111 | FALLOS = 96 64%
Epoca 112 | ACIERTOS = 54 36%
Epoca 112 | FALLOS = 96 64%
Epoca 113 | ACIERTOS = 54 36%
Epoca 113 | FALLOS = 96 64%
Epoca 114 | ACIERTOS = 54 36%
Epoca 114 | FALLOS = 96 64%
Epoca 115 | ACIERTOS = 54 36%
Epoca 115 | FALLOS = 96 64%
Epoca 116 | ACIERTOS = 54 36%
Epoca 116 | FALLOS = 96 64%
Epoca 117 | ACIERTOS = 54 36%
Epoca 117 | FALLOS = 96 64%
Epoca 118 | ACIERTOS = 54 36%
Epoca 118 | FALLOS = 96 64%
Epoca 119 | ACIERTOS = 54 36%
Epoca 119 | FALLOS = 96 64%
Epoca 120 | ACIERTOS = 54 36%
Epoca 120 | FALLOS = 96 64%
Epoca 121 | ACIERTOS = 54 36%
Epoca 121 | FALLOS = 96 64%
Epoca 122 | ACIERTOS = 54 36%
Epoca 122 | FALLOS = 96 64%
Epoca 123 | ACIERTOS = 54 36%
Epoca 123 | FALLOS = 96 64%
Epoca 124 | ACIERTOS = 54 36%
Epoca 124 | FALLOS = 96 64%
Epoca 125 | ACIERTOS = 54 36%
Epoca 125 | FALLOS = 96 64%
Epoca 126 | ACIERTOS = 54 36%
Epoca 126 | FALLOS = 96 64%
Epoca 127 | ACIERTOS = 54 36%
Epoca 127 | FALLOS = 96 64%
Epoca 128 | ACIERTOS = 54 36%
Epoca 128 | FALLOS = 96 64%
Epoca 129 | ACIERTOS = 54 36%
Epoca 129 | FALLOS = 96 64%
Epoca 130 | ACIERTOS = 54 36%
Epoca 130 | FALLOS = 96 64%
Epoca 131 | ACIERTOS = 54 36%
Epoca 131 | FALLOS = 96 64%
Epoca 132 | ACIERTOS = 54 36%
Epoca 132 | FALLOS = 96 64%
Epoca 133 | ACIERTOS = 54 36%
