0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 -0.48 -0.29 -0.35 -0.13 
0.03 -0.19 0.49 0.49 0.10 -0.35 
-0.35 0.21 -0.05 0.17 0.17 0.24 0.41 0.15 

##################LEARN##################
Epoca 179, RMS = 0.52681
Epoca 180, RMS = 0.52655
Epoca 181, RMS = 0.52631
Epoca 182, RMS = 0.52608
Epoca 183, RMS = 0.52588
Epoca 184, RMS = 0.52570
Epoca 185, RMS = 0.52553
Epoca 186, RMS = 0.52537
Epoca 187, RMS = 0.52523
Epoca 188, RMS = 0.52510
Epoca 189, RMS = 0.52498
Epoca 190, RMS = 0.52488
Epoca 191, RMS = 0.52478
Epoca 192, RMS = 0.52470
Epoca 193, RMS = 0.52463
Epoca 194, RMS = 0.52458
Epoca 195, RMS = 0.52454
Epoca 196, RMS = 0.52452
Epoca 197, RMS = 0.52451
Epoca 198, RMS = 0.52450
Epoca 199, RMS = 0.52446
Epoca 200, RMS = 0.52437
Epoca 201, RMS = 0.52419
Epoca 202, RMS = 0.52385
Epoca 203, RMS = 0.52332
Epoca 204, RMS = 0.52261
Epoca 205, RMS = 0.52173
Epoca 206, RMS = 0.52075
Epoca 207, RMS = 0.51973
Epoca 208, RMS = 0.51873
Epoca 209, RMS = 0.51779
Epoca 210, RMS = 0.51694
Epoca 211, RMS = 0.51618
Epoca 212, RMS = 0.51551
Epoca 213, RMS = 0.51493
Epoca 214, RMS = 0.51441
Epoca 215, RMS = 0.51394
Epoca 216, RMS = 0.51351
Epoca 217, RMS = 0.51311
Epoca 218, RMS = 0.51272
Epoca 219, RMS = 0.51233
Epoca 220, RMS = 0.51194
Epoca 221, RMS = 0.51154
Epoca 222, RMS = 0.51112
Epoca 223, RMS = 0.51070
Epoca 224, RMS = 0.51027
Epoca 225, RMS = 0.50985
Epoca 226, RMS = 0.50943
Epoca 227, RMS = 0.50902
Epoca 228, RMS = 0.50863
Epoca 229, RMS = 0.50827
Epoca 230, RMS = 0.50792
Epoca 231, RMS = 0.50760
Epoca 232, RMS = 0.50730
Epoca 233, RMS = 0.50701
Epoca 234, RMS = 0.50674
