-0.40 -0.14 -0.42 0.43 
-0.30 0.32 -0.07 -0.42 
0.23 0.47 -0.50 0.14 
-0.27 -0.34 -0.03 0.04 
-0.34 0.10 0.11 0.08 
0.11 0.33 -0.25 -0.35 
0.33 0.30 -0.34 -0.32 
0.49 -0.09 0.15 -0.41 0.27 0.23 -0.48 
0.47 0.06 -0.04 -0.45 -0.21 -0.07 -0.45 
0.43 0.15 -0.29 -0.11 -0.31 -0.12 0.49 
0.30 0.45 0.11 0.13 -0.30 0.26 -0.04 -0.50 0.41 0.14 

##################LEARN##################
Epoca 70 | ACIERTOS = 52 35%
Epoca 70 | FALLOS = 98 65%
Epoca 71 | ACIERTOS = 52 35%
Epoca 71 | FALLOS = 98 65%
Epoca 72 | ACIERTOS = 52 35%
Epoca 72 | FALLOS = 98 65%
Epoca 73 | ACIERTOS = 52 35%
Epoca 73 | FALLOS = 98 65%
Epoca 74 | ACIERTOS = 52 35%
Epoca 74 | FALLOS = 98 65%
Epoca 75 | ACIERTOS = 57 38%
Epoca 75 | FALLOS = 93 62%
Epoca 76 | ACIERTOS = 52 35%
Epoca 76 | FALLOS = 98 65%
Epoca 77 | ACIERTOS = 52 35%
Epoca 77 | FALLOS = 98 65%
Epoca 78 | ACIERTOS = 51 34%
Epoca 78 | FALLOS = 99 66%
Epoca 79 | ACIERTOS = 52 35%
Epoca 79 | FALLOS = 98 65%
Epoca 80 | ACIERTOS = 52 35%
Epoca 80 | FALLOS = 98 65%
Epoca 81 | ACIERTOS = 52 35%
Epoca 81 | FALLOS = 98 65%
Epoca 82 | ACIERTOS = 52 35%
Epoca 82 | FALLOS = 98 65%
Epoca 83 | ACIERTOS = 52 35%
Epoca 83 | FALLOS = 98 65%
Epoca 84 | ACIERTOS = 52 35%
Epoca 84 | FALLOS = 98 65%
Epoca 85 | ACIERTOS = 52 35%
Epoca 85 | FALLOS = 98 65%
Epoca 86 | ACIERTOS = 52 35%
Epoca 86 | FALLOS = 98 65%
Epoca 87 | ACIERTOS = 52 35%
Epoca 87 | FALLOS = 98 65%
Epoca 88 | ACIERTOS = 52 35%
Epoca 88 | FALLOS = 98 65%
Epoca 89 | ACIERTOS = 52 35%
Epoca 89 | FALLOS = 98 65%
Epoca 90 | ACIERTOS = 52 35%
Epoca 90 | FALLOS = 98 65%
Epoca 91 | ACIERTOS = 52 35%
Epoca 91 | FALLOS = 98 65%
Epoca 92 | ACIERTOS = 52 35%
Epoca 92 | FALLOS = 98 65%
Epoca 93 | ACIERTOS = 52 35%
Epoca 93 | FALLOS = 98 65%
Epoca 94 | ACIERTOS = 52 35%
Epoca 94 | FALLOS = 98 65%
Epoca 95 | ACIERTOS = 52 35%
Epoca 95 | FALLOS = 98 65%
Epoca 96 | ACIERTOS = 52 35%
Epoca 96 | FALLOS = 98 65%
Epoca 97 | ACIERTOS = 52 35%
Epoca 97 | FALLOS = 98 65%
Epoca 98 | ACIERTOS = 52 35%
Epoca 98 | FALLOS = 98 65%
Epoca 99 | ACIERTOS = 52 35%
Epoca 99 | FALLOS = 98 65%
Epoca 100 | ACIERTOS = 52 35%
Epoca 100 | FALLOS = 98 65%
Epoca 101 | ACIERTOS = 52 35%
Epoca 101 | FALLOS = 98 65%
Epoca 102 | ACIERTOS = 52 35%
Epoca 102 | FALLOS = 98 65%
Epoca 103 | ACIERTOS = 52 35%
Epoca 103 | FALLOS = 98 65%
Epoca 104 | ACIERTOS = 52 35%
Epoca 104 | FALLOS = 98 65%
Epoca 105 | ACIERTOS = 52 35%
Epoca 105 | FALLOS = 98 65%
Epoca 106 | ACIERTOS = 52 35%
Epoca 106 | FALLOS = 98 65%
Epoca 107 | ACIERTOS = 52 35%
Epoca 107 | FALLOS = 98 65%
Epoca 108 | ACIERTOS = 52 35%
Epoca 108 | FALLOS = 98 65%
Epoca 109 | ACIERTOS = 52 35%
Epoca 109 | FALLOS = 98 65%
Epoca 110 | ACIERTOS = 52 35%
Epoca 110 | FALLOS = 98 65%
Epoca 111 | ACIERTOS = 52 35%
Epoca 111 | FALLOS = 98 65%
Epoca 112 | ACIERTOS = 52 35%
Epoca 112 | FALLOS = 98 65%
Epoca 113 | ACIERTOS = 52 35%
Epoca 113 | FALLOS = 98 65%
Epoca 114 | ACIERTOS = 52 35%
Epoca 114 | FALLOS = 98 65%
Epoca 115 | ACIERTOS = 52 35%
Epoca 115 | FALLOS = 98 65%
Epoca 116 | ACIERTOS = 52 35%
Epoca 116 | FALLOS = 98 65%
Epoca 117 | ACIERTOS = 52 35%
Epoca 117 | FALLOS = 98 65%
Epoca 118 | ACIERTOS = 52 35%
Epoca 118 | FALLOS = 98 65%
Epoca 119 | ACIERTOS = 52 35%
Epoca 119 | FALLOS = 98 65%
Epoca 120 | ACIERTOS = 52 35%
Epoca 120 | FALLOS = 98 65%
Epoca 121 | ACIERTOS = 52 35%
Epoca 121 | FALLOS = 98 65%
Epoca 122 | ACIERTOS = 52 35%
Epoca 122 | FALLOS = 98 65%
Epoca 123 | ACIERTOS = 52 35%
Epoca 123 | FALLOS = 98 65%
Epoca 124 | ACIERTOS = 52 35%
Epoca 124 | FALLOS = 98 65%
Epoca 125 | ACIERTOS = 52 35%
Epoca 125 | FALLOS = 98 65%
Epoca 126 | ACIERTOS = 52 35%
Epoca 126 | FALLOS = 98 65%
Epoca 127 | ACIERTOS = 52 35%
Epoca 127 | FALLOS = 98 65%
Epoca 128 | ACIERTOS = 52 35%
Epoca 128 | FALLOS = 98 65%
Epoca 129 | ACIERTOS = 52 35%
Epoca 129 | FALLOS = 98 65%
Epoca 130 | ACIERTOS = 52 35%
Epoca 130 | FALLOS = 98 65%
Epoca 131 | ACIERTOS = 52 35%
Epoca 131 | FALLOS = 98 65%
Epoca 132 | ACIERTOS = 52 35%
Epoca 132 | FALLOS = 98 65%
Epoca 133 | ACIERTOS = 52 35%
Epoca 133 | FALLOS = 98 65%
Epoca 134 | ACIERTOS = 52 35%
Epoca 134 | FALLOS = 98 65%
Epoca 135 | ACIERTOS = 52 35%
Epoca 135 | FALLOS = 98 65%
Epoca 136 | ACIERTOS = 52 35%
Epoca 136 | FALLOS = 98 65%
Epoca 137 | ACIERTOS = 52 35%
Epoca 137 | FALLOS = 98 65%
Epoca 138 | ACIERTOS = 52 35%
Epoca 138 | FALLOS = 98 65%
Epoca 139 | ACIERTOS = 52 35%
Epoca 139 | FALLOS = 98 65%
Epoca 140 | ACIERTOS = 52 35%
Epoca 140 | FALLOS = 98 65%
Epoca 141 | ACIERTOS = 52 35%
Epoca 141 | FALLOS = 98 65%
Epoca 142 | ACIERTOS = 52 35%
Epoca 142 | FALLOS = 98 65%
Epoca 143 | ACIERTOS = 51 34%
Epoca 143 | FALLOS = 99 66%
Epoca 144 | ACIERTOS = 52 35%
Epoca 144 | FALLOS = 98 65%
Epoca 145 | ACIERTOS = 52 35%
Epoca 145 | FALLOS = 98 65%
Epoca 146 | ACIERTOS = 52 35%
Epoca 146 | FALLOS = 98 65%
Epoca 147 | ACIERTOS = 52 35%
Epoca 147 | FALLOS = 98 65%
Epoca 148 | ACIERTOS = 52 35%
Epoca 148 | FALLOS = 98 65%
Epoca 149 | ACIERTOS = 52 35%
Epoca 149 | FALLOS = 98 65%
Epoca 150 | ACIERTOS = 52 35%
Epoca 150 | FALLOS = 98 65%
Epoca 151 | ACIERTOS = 52 35%
Epoca 151 | FALLOS = 98 65%
Epoca 152 | ACIERTOS = 52 35%
Epoca 152 | FALLOS = 98 65%
Epoca 153 | ACIERTOS = 52 35%
Epoca 153 | FALLOS = 98 65%
Epoca 154 | ACIERTOS = 52 35%
Epoca 154 | FALLOS = 98 65%
Epoca 155 | ACIERTOS = 52 35%
Epoca 155 | FALLOS = 98 65%
Epoca 156 | ACIERTOS = 52 35%
Epoca 156 | FALLOS = 98 65%
Epoca 157 | ACIERTOS = 52 35%
Epoca 157 | FALLOS = 98 65%
Epoca 158 | ACIERTOS = 52 35%
Epoca 158 | FALLOS = 98 65%
Epoca 159 | ACIERTOS = 52 35%
Epoca 159 | FALLOS = 98 65%
Epoca 160 | ACIERTOS = 52 35%
Epoca 160 | FALLOS = 98 65%
Epoca 161 | ACIERTOS = 52 35%
Epoca 161 | FALLOS = 98 65%
Epoca 162 | ACIERTOS = 52 35%
Epoca 162 | FALLOS = 98 65%
Epoca 163 | ACIERTOS = 52 35%
Epoca 163 | FALLOS = 98 65%
Epoca 164 | ACIERTOS = 52 35%
Epoca 164 | FALLOS = 98 65%
Epoca 165 | ACIERTOS = 52 35%
Epoca 165 | FALLOS = 98 65%
Epoca 166 | ACIERTOS = 52 35%
Epoca 166 | FALLOS = 98 65%
Epoca 167 | ACIERTOS = 52 35%
Epoca 167 | FALLOS = 98 65%
Epoca 168 | ACIERTOS = 52 35%
Epoca 168 | FALLOS = 98 65%
Epoca 169 | ACIERTOS = 52 35%
Epoca 169 | FALLOS = 98 65%
Epoca 170 | ACIERTOS = 52 35%
Epoca 170 | FALLOS = 98 65%
Epoca 171 | ACIERTOS = 52 35%
Epoca 171 | FALLOS = 98 65%
Epoca 172 | ACIERTOS = 52 35%
Epoca 172 | FALLOS = 98 65%
Epoca 173 | ACIERTOS = 52 35%
Epoca 173 | FALLOS = 98 65%
Epoca 174 | ACIERTOS = 52 35%
Epoca 174 | FALLOS = 98 65%
Epoca 175 | ACIERTOS = 52 35%
Epoca 175 | FALLOS = 98 65%
Epoca 176 | ACIERTOS = 52 35%
Epoca 176 | FALLOS = 98 65%
Epoca 177 | ACIERTOS = 52 35%
Epoca 177 | FALLOS = 98 65%
Epoca 178 | ACIERTOS = 52 35%
Epoca 178 | FALLOS = 98 65%
Epoca 179 | ACIERTOS = 52 35%
Epoca 179 | FALLOS = 98 65%
Epoca 180 | ACIERTOS = 52 35%
Epoca 180 | FALLOS = 98 65%
Epoca 181 | ACIERTOS = 52 35%
Epoca 181 | FALLOS = 98 65%
Epoca 182 | ACIERTOS = 52 35%
Epoca 182 | FALLOS = 98 65%
Epoca 183 | ACIERTOS = 52 35%
Epoca 183 | FALLOS = 98 65%
Epoca 184 | ACIERTOS = 52 35%
Epoca 184 | FALLOS = 98 65%
Epoca 185 | ACIERTOS = 52 35%
Epoca 185 | FALLOS = 98 65%
Epoca 186 | ACIERTOS = 52 35%
Epoca 186 | FALLOS = 98 65%
Epoca 187 | ACIERTOS = 52 35%
Epoca 187 | FALLOS = 98 65%
