0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.78802
Epoca 2, RMS = 0.66433
Epoca 3, RMS = 0.58681
Epoca 4, RMS = 0.53648
Epoca 5, RMS = 0.50098
Epoca 6, RMS = 0.47485
Epoca 7, RMS = 0.45579
Epoca 8, RMS = 0.44216
Epoca 9, RMS = 0.43251
Epoca 10, RMS = 0.42569
Epoca 11, RMS = 0.42081
Epoca 12, RMS = 0.41729
Epoca 13, RMS = 0.41469
Epoca 14, RMS = 0.41273
Epoca 15, RMS = 0.41122
Epoca 16, RMS = 0.41003
Epoca 17, RMS = 0.40905
Epoca 18, RMS = 0.40823
Epoca 19, RMS = 0.40752
Epoca 20, RMS = 0.40689
Epoca 21, RMS = 0.40630
Epoca 22, RMS = 0.40576
Epoca 23, RMS = 0.40523
Epoca 24, RMS = 0.40472
Epoca 25, RMS = 0.40422
Epoca 26, RMS = 0.40372
Epoca 27, RMS = 0.40322
Epoca 28, RMS = 0.40271
Epoca 29, RMS = 0.40219
Epoca 30, RMS = 0.40167
Epoca 31, RMS = 0.40113
Epoca 32, RMS = 0.40058
Epoca 33, RMS = 0.40002
Epoca 34, RMS = 0.39945
Epoca 35, RMS = 0.39889
Epoca 36, RMS = 0.39834
Epoca 37, RMS = 0.39782
Epoca 38, RMS = 0.39735
Epoca 39, RMS = 0.39696
Epoca 40, RMS = 0.39668
Epoca 41, RMS = 0.39655
Epoca 42, RMS = 0.39662
Epoca 43, RMS = 0.39690
Epoca 44, RMS = 0.39741
Epoca 45, RMS = 0.39812
Epoca 46, RMS = 0.39899
Epoca 47, RMS = 0.39993
Epoca 48, RMS = 0.40087
Epoca 49, RMS = 0.40171
Epoca 50, RMS = 0.40240
Epoca 51, RMS = 0.40291
Epoca 52, RMS = 0.40323
Epoca 53, RMS = 0.40338
Epoca 54, RMS = 0.40339
Epoca 55, RMS = 0.40327
Epoca 56, RMS = 0.40306
Epoca 57, RMS = 0.40276
Epoca 58, RMS = 0.40240
Epoca 59, RMS = 0.40200
Epoca 60, RMS = 0.40155
Epoca 61, RMS = 0.40107
Epoca 62, RMS = 0.40056
Epoca 63, RMS = 0.40002
Epoca 64, RMS = 0.39946
Epoca 65, RMS = 0.39888
Epoca 66, RMS = 0.39828
Epoca 67, RMS = 0.39766
Epoca 68, RMS = 0.39703
Epoca 69, RMS = 0.39640
Epoca 70, RMS = 0.39577
Epoca 71, RMS = 0.39515
Epoca 72, RMS = 0.39456
Epoca 73, RMS = 0.39402
Epoca 74, RMS = 0.39355
Epoca 75, RMS = 0.39318
Epoca 76, RMS = 0.39295
Epoca 77, RMS = 0.39288
Epoca 78, RMS = 0.39301
Epoca 79, RMS = 0.39336
Epoca 80, RMS = 0.39392
Epoca 81, RMS = 0.39469
Epoca 82, RMS = 0.39561
Epoca 83, RMS = 0.39663
Epoca 84, RMS = 0.39769
Epoca 85, RMS = 0.39873
Epoca 86, RMS = 0.39968
Epoca 87, RMS = 0.40052
Epoca 88, RMS = 0.40123
Epoca 89, RMS = 0.40180
Epoca 90, RMS = 0.40223
Epoca 91, RMS = 0.40254
Epoca 92, RMS = 0.40274
Epoca 93, RMS = 0.40284
Epoca 94, RMS = 0.40287
Epoca 95, RMS = 0.40282
Epoca 96, RMS = 0.40270
Epoca 97, RMS = 0.40254
Epoca 98, RMS = 0.40233
Epoca 99, RMS = 0.40208
Epoca 100, RMS = 0.40180
Epoca 101, RMS = 0.40149
Epoca 102, RMS = 0.40116
Epoca 103, RMS = 0.40080
Epoca 104, RMS = 0.40043
Epoca 105, RMS = 0.40004
Epoca 106, RMS = 0.39965
Epoca 107, RMS = 0.39927
Epoca 108, RMS = 0.39889
Epoca 109, RMS = 0.39853
Epoca 110, RMS = 0.39820
Epoca 111, RMS = 0.39790
Epoca 112, RMS = 0.39766
Epoca 113, RMS = 0.39747
Epoca 114, RMS = 0.39734
Epoca 115, RMS = 0.39728
Epoca 116, RMS = 0.39727
Epoca 117, RMS = 0.39730
Epoca 118, RMS = 0.39737
Epoca 119, RMS = 0.39744
Epoca 120, RMS = 0.39750
Epoca 121, RMS = 0.39753
Epoca 122, RMS = 0.39751
Epoca 123, RMS = 0.39743
Epoca 124, RMS = 0.39729
Epoca 125, RMS = 0.39709
Epoca 126, RMS = 0.39683
Epoca 127, RMS = 0.39652
Epoca 128, RMS = 0.39617
Epoca 129, RMS = 0.39577
Epoca 130, RMS = 0.39534
Epoca 131, RMS = 0.39489
Epoca 132, RMS = 0.39441
Epoca 133, RMS = 0.39391
Epoca 134, RMS = 0.39339
Epoca 135, RMS = 0.39287
Epoca 136, RMS = 0.39235
Epoca 137, RMS = 0.39183
Epoca 138, RMS = 0.39133
Epoca 139, RMS = 0.39086
Epoca 140, RMS = 0.39044
Epoca 141, RMS = 0.39009
Epoca 142, RMS = 0.38984
Epoca 143, RMS = 0.38970
Epoca 144, RMS = 0.38972
Epoca 145, RMS = 0.38990
Epoca 146, RMS = 0.39028
Epoca 147, RMS = 0.39086
Epoca 148, RMS = 0.39162
Epoca 149, RMS = 0.39254
Epoca 150, RMS = 0.39359
Epoca 151, RMS = 0.39471
Epoca 152, RMS = 0.39585
Epoca 153, RMS = 0.39695
Epoca 154, RMS = 0.39798
Epoca 155, RMS = 0.39892
Epoca 156, RMS = 0.39974
Epoca 157, RMS = 0.40044
Epoca 158, RMS = 0.40102
Epoca 159, RMS = 0.40150
Epoca 160, RMS = 0.40187
Epoca 161, RMS = 0.40216
Epoca 162, RMS = 0.40236
Epoca 163, RMS = 0.40251
Epoca 164, RMS = 0.40259
Epoca 165, RMS = 0.40262
Epoca 166, RMS = 0.40262
Epoca 167, RMS = 0.40258
Epoca 168, RMS = 0.40251
Epoca 169, RMS = 0.40243
