0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 
-0.48 -0.29 -0.35 -0.13 0.03 -0.19 0.49 
0.49 0.10 -0.35 -0.35 0.21 -0.05 0.17 
0.17 0.24 0.41 0.15 -0.47 0.18 0.13 -0.18 0.19 

##################LEARN##################
Epoca 178, RMS = 0.53631
Epoca 179, RMS = 0.53697
Epoca 180, RMS = 0.53765
Epoca 181, RMS = 0.53834
Epoca 182, RMS = 0.53899
Epoca 183, RMS = 0.53959
Epoca 184, RMS = 0.54013
Epoca 185, RMS = 0.54060
Epoca 186, RMS = 0.54100
Epoca 187, RMS = 0.54132
Epoca 188, RMS = 0.54159
Epoca 189, RMS = 0.54179
Epoca 190, RMS = 0.54193
Epoca 191, RMS = 0.54202
Epoca 192, RMS = 0.54206
Epoca 193, RMS = 0.54206
Epoca 194, RMS = 0.54202
Epoca 195, RMS = 0.54195
Epoca 196, RMS = 0.54185
Epoca 197, RMS = 0.54171
Epoca 198, RMS = 0.54156
Epoca 199, RMS = 0.54138
Epoca 200, RMS = 0.54118
Epoca 201, RMS = 0.54096
Epoca 202, RMS = 0.54072
Epoca 203, RMS = 0.54048
Epoca 204, RMS = 0.54022
Epoca 205, RMS = 0.53995
Epoca 206, RMS = 0.53967
Epoca 207, RMS = 0.53939
Epoca 208, RMS = 0.53911
Epoca 209, RMS = 0.53883
Epoca 210, RMS = 0.53855
Epoca 211, RMS = 0.53828
Epoca 212, RMS = 0.53801
Epoca 213, RMS = 0.53776
Epoca 214, RMS = 0.53752
Epoca 215, RMS = 0.53730
Epoca 216, RMS = 0.53709
Epoca 217, RMS = 0.53691
Epoca 218, RMS = 0.53675
Epoca 219, RMS = 0.53662
Epoca 220, RMS = 0.53650
Epoca 221, RMS = 0.53640
Epoca 222, RMS = 0.53631
Epoca 223, RMS = 0.53622
Epoca 224, RMS = 0.53613
Epoca 225, RMS = 0.53601
Epoca 226, RMS = 0.53587
Epoca 227, RMS = 0.53570
Epoca 228, RMS = 0.53550
Epoca 229, RMS = 0.53527
Epoca 230, RMS = 0.53505
Epoca 231, RMS = 0.53488
Epoca 232, RMS = 0.53478
Epoca 233, RMS = 0.53481
Epoca 234, RMS = 0.53498
Epoca 235, RMS = 0.53524
Epoca 236, RMS = 0.53551
Epoca 237, RMS = 0.53566
Epoca 238, RMS = 0.53560
Epoca 239, RMS = 0.53529
Epoca 240, RMS = 0.53478
Epoca 241, RMS = 0.53412
Epoca 242, RMS = 0.53341
Epoca 243, RMS = 0.53269
Epoca 244, RMS = 0.53202
Epoca 245, RMS = 0.53142
Epoca 246, RMS = 0.53092
Epoca 247, RMS = 0.53052
Epoca 248, RMS = 0.53020
Epoca 249, RMS = 0.52996
Epoca 250, RMS = 0.52978
Epoca 251, RMS = 0.52965
Epoca 252, RMS = 0.52955
Epoca 253, RMS = 0.52948
Epoca 254, RMS = 0.52942
Epoca 255, RMS = 0.52938
Epoca 256, RMS = 0.52934
Epoca 257, RMS = 0.52931
Epoca 258, RMS = 0.52928
Epoca 259, RMS = 0.52925
Epoca 260, RMS = 0.52922
Epoca 261, RMS = 0.52918
Epoca 262, RMS = 0.52914
Epoca 263, RMS = 0.52909
Epoca 264, RMS = 0.52904
Epoca 265, RMS = 0.52898
Epoca 266, RMS = 0.52892
Epoca 267, RMS = 0.52885
Epoca 268, RMS = 0.52878
Epoca 269, RMS = 0.52870
Epoca 270, RMS = 0.52861
Epoca 271, RMS = 0.52852
Epoca 272, RMS = 0.52843
Epoca 273, RMS = 0.52833
Epoca 274, RMS = 0.52823
Epoca 275, RMS = 0.52812
Epoca 276, RMS = 0.52800
Epoca 277, RMS = 0.52788
Epoca 278, RMS = 0.52776
Epoca 279, RMS = 0.52763
Epoca 280, RMS = 0.52750
Epoca 281, RMS = 0.52736
Epoca 282, RMS = 0.52722
Epoca 283, RMS = 0.52708
Epoca 284, RMS = 0.52692
Epoca 285, RMS = 0.52677
Epoca 286, RMS = 0.52660
Epoca 287, RMS = 0.52644
Epoca 288, RMS = 0.52626
Epoca 289, RMS = 0.52608
