0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 
0.44 0.21 
0.33 -0.47 
-0.48 -0.29 
-0.35 -0.13 0.03 -0.19 0.49 0.49 0.10 -0.35 
-0.35 0.21 -0.05 0.17 0.17 0.24 0.41 0.15 
-0.47 0.18 0.13 -0.18 0.19 -0.39 -0.34 0.11 -0.05 -0.40 

##################LEARN##################
Epoca 177, RMS = 0.33570
Epoca 178, RMS = 0.33618
Epoca 179, RMS = 0.33667
Epoca 180, RMS = 0.33714
Epoca 181, RMS = 0.33761
Epoca 182, RMS = 0.33805
Epoca 183, RMS = 0.33848
Epoca 184, RMS = 0.33888
Epoca 185, RMS = 0.33925
Epoca 186, RMS = 0.33959
Epoca 187, RMS = 0.33990
Epoca 188, RMS = 0.34017
Epoca 189, RMS = 0.34042
Epoca 190, RMS = 0.34063
Epoca 191, RMS = 0.34081
Epoca 192, RMS = 0.34096
Epoca 193, RMS = 0.34108
Epoca 194, RMS = 0.34116
Epoca 195, RMS = 0.34122
Epoca 196, RMS = 0.34125
Epoca 197, RMS = 0.34125
Epoca 198, RMS = 0.34122
Epoca 199, RMS = 0.34117
Epoca 200, RMS = 0.34109
Epoca 201, RMS = 0.34099
Epoca 202, RMS = 0.34086
Epoca 203, RMS = 0.34072
Epoca 204, RMS = 0.34055
Epoca 205, RMS = 0.34036
Epoca 206, RMS = 0.34015
Epoca 207, RMS = 0.33993
Epoca 208, RMS = 0.33968
Epoca 209, RMS = 0.33942
Epoca 210, RMS = 0.33914
Epoca 211, RMS = 0.33884
Epoca 212, RMS = 0.33852
Epoca 213, RMS = 0.33819
Epoca 214, RMS = 0.33784
Epoca 215, RMS = 0.33748
Epoca 216, RMS = 0.33709
Epoca 217, RMS = 0.33669
Epoca 218, RMS = 0.33627
Epoca 219, RMS = 0.33583
Epoca 220, RMS = 0.33538
Epoca 221, RMS = 0.33490
Epoca 222, RMS = 0.33440
Epoca 223, RMS = 0.33389
Epoca 224, RMS = 0.33335
Epoca 225, RMS = 0.33278
Epoca 226, RMS = 0.33220
Epoca 227, RMS = 0.33158
Epoca 228, RMS = 0.33095
Epoca 229, RMS = 0.33028
Epoca 230, RMS = 0.32959
Epoca 231, RMS = 0.32887
Epoca 232, RMS = 0.32812
Epoca 233, RMS = 0.32734
Epoca 234, RMS = 0.32654
Epoca 235, RMS = 0.32570
Epoca 236, RMS = 0.32483
Epoca 237, RMS = 0.32393
Epoca 238, RMS = 0.32301
Epoca 239, RMS = 0.32206
Epoca 240, RMS = 0.32108
Epoca 241, RMS = 0.32008
Epoca 242, RMS = 0.31905
Epoca 243, RMS = 0.31802
Epoca 244, RMS = 0.31697
Epoca 245, RMS = 0.31591
Epoca 246, RMS = 0.31485
Epoca 247, RMS = 0.31379
Epoca 248, RMS = 0.31275
Epoca 249, RMS = 0.31173
Epoca 250, RMS = 0.31073
Epoca 251, RMS = 0.30976
Epoca 252, RMS = 0.30884
Epoca 253, RMS = 0.30797
Epoca 254, RMS = 0.30715
Epoca 255, RMS = 0.30639
Epoca 256, RMS = 0.30569
Epoca 257, RMS = 0.30507
Epoca 258, RMS = 0.30451
Epoca 259, RMS = 0.30403
Epoca 260, RMS = 0.30361
Epoca 261, RMS = 0.30326
Epoca 262, RMS = 0.30298
Epoca 263, RMS = 0.30274
Epoca 264, RMS = 0.30255
Epoca 265, RMS = 0.30240
Epoca 266, RMS = 0.30228
Epoca 267, RMS = 0.30218
Epoca 268, RMS = 0.30207
Epoca 269, RMS = 0.30196
Epoca 270, RMS = 0.30183
Epoca 271, RMS = 0.30167
Epoca 272, RMS = 0.30146
Epoca 273, RMS = 0.30120
Epoca 274, RMS = 0.30090
Epoca 275, RMS = 0.30059
Epoca 276, RMS = 0.30032
Epoca 277, RMS = 0.30019
Epoca 278, RMS = 0.30033
Epoca 279, RMS = 0.30082
Epoca 280, RMS = 0.30156
Epoca 281, RMS = 0.30231
Epoca 282, RMS = 0.30284
Epoca 283, RMS = 0.30314
Epoca 284, RMS = 0.30334
Epoca 285, RMS = 0.30357
Epoca 286, RMS = 0.30392
Epoca 287, RMS = 0.30440
Epoca 288, RMS = 0.30496
Epoca 289, RMS = 0.30552
Epoca 290, RMS = 0.30604
Epoca 291, RMS = 0.30649
Epoca 292, RMS = 0.30690
Epoca 293, RMS = 0.30727
Epoca 294, RMS = 0.30764
Epoca 295, RMS = 0.30800
Epoca 296, RMS = 0.30836
Epoca 297, RMS = 0.30873
Epoca 298, RMS = 0.30908
Epoca 299, RMS = 0.30943
Epoca 300, RMS = 0.30975
Epoca 301, RMS = 0.31005
Epoca 302, RMS = 0.31033
Epoca 303, RMS = 0.31060
Epoca 304, RMS = 0.31084
Epoca 305, RMS = 0.31107
Epoca 306, RMS = 0.31128
Epoca 307, RMS = 0.31148
Epoca 308, RMS = 0.31166
Epoca 309, RMS = 0.31183
Epoca 310, RMS = 0.31198
Epoca 311, RMS = 0.31212
Epoca 312, RMS = 0.31225
Epoca 313, RMS = 0.31237
Epoca 314, RMS = 0.31248
Epoca 315, RMS = 0.31257
Epoca 316, RMS = 0.31266
Epoca 317, RMS = 0.31274
Epoca 318, RMS = 0.31281
Epoca 319, RMS = 0.31288
Epoca 320, RMS = 0.31294
Epoca 321, RMS = 0.31300
Epoca 322, RMS = 0.31305
Epoca 323, RMS = 0.31311
Epoca 324, RMS = 0.31315
Epoca 325, RMS = 0.31320
Epoca 326, RMS = 0.31325
Epoca 327, RMS = 0.31329
Epoca 328, RMS = 0.31333
Epoca 329, RMS = 0.31336
Epoca 330, RMS = 0.31338
Epoca 331, RMS = 0.31337
Epoca 332, RMS = 0.31334
Epoca 333, RMS = 0.31324
Epoca 334, RMS = 0.31305
Epoca 335, RMS = 0.31270
Epoca 336, RMS = 0.31212
Epoca 337, RMS = 0.31124
Epoca 338, RMS = 0.31004
Epoca 339, RMS = 0.30877
Epoca 340, RMS = 0.30799
Epoca 341, RMS = 0.30819
Epoca 342, RMS = 0.30940
Epoca 343, RMS = 0.31117
Epoca 344, RMS = 0.31300
Epoca 345, RMS = 0.31454
Epoca 346, RMS = 0.31572
Epoca 347, RMS = 0.31663
Epoca 348, RMS = 0.31743
Epoca 349, RMS = 0.31822
Epoca 350, RMS = 0.31905
Epoca 351, RMS = 0.31992
Epoca 352, RMS = 0.32079
Epoca 353, RMS = 0.32161
Epoca 354, RMS = 0.32235
Epoca 355, RMS = 0.32302
Epoca 356, RMS = 0.32363
Epoca 357, RMS = 0.32420
Epoca 358, RMS = 0.32477
Epoca 359, RMS = 0.32532
Epoca 360, RMS = 0.32587
Epoca 361, RMS = 0.32640
Epoca 362, RMS = 0.32692
Epoca 363, RMS = 0.32742
Epoca 364, RMS = 0.32789
Epoca 365, RMS = 0.32834
Epoca 366, RMS = 0.32877
Epoca 367, RMS = 0.32918
Epoca 368, RMS = 0.32958
Epoca 369, RMS = 0.32995
Epoca 370, RMS = 0.33031
Epoca 371, RMS = 0.33064
Epoca 372, RMS = 0.33095
Epoca 373, RMS = 0.33123
Epoca 374, RMS = 0.33149
Epoca 375, RMS = 0.33173
Epoca 376, RMS = 0.33193
Epoca 377, RMS = 0.33211
Epoca 378, RMS = 0.33227
Epoca 379, RMS = 0.33239
Epoca 380, RMS = 0.33248
Epoca 381, RMS = 0.33254
Epoca 382, RMS = 0.33258
Epoca 383, RMS = 0.33258
Epoca 384, RMS = 0.33254
Epoca 385, RMS = 0.33248
Epoca 386, RMS = 0.33239
Epoca 387, RMS = 0.33226
Epoca 388, RMS = 0.33211
Epoca 389, RMS = 0.33192
Epoca 390, RMS = 0.33171
Epoca 391, RMS = 0.33147
Epoca 392, RMS = 0.33121
Epoca 393, RMS = 0.33092
Epoca 394, RMS = 0.33061
Epoca 395, RMS = 0.33028
Epoca 396, RMS = 0.32993
Epoca 397, RMS = 0.32957
Epoca 398, RMS = 0.32920
Epoca 399, RMS = 0.32881
Epoca 400, RMS = 0.32842
Epoca 401, RMS = 0.32803
Epoca 402, RMS = 0.32763
Epoca 403, RMS = 0.32723
Epoca 404, RMS = 0.32683
Epoca 405, RMS = 0.32643
Epoca 406, RMS = 0.32604
Epoca 407, RMS = 0.32566
Epoca 408, RMS = 0.32528
Epoca 409, RMS = 0.32490
Epoca 410, RMS = 0.32454
Epoca 411, RMS = 0.32418
Epoca 412, RMS = 0.32383
Epoca 413, RMS = 0.32348
Epoca 414, RMS = 0.32314
Epoca 415, RMS = 0.32281
Epoca 416, RMS = 0.32249
Epoca 417, RMS = 0.32216
Epoca 418, RMS = 0.32185
Epoca 419, RMS = 0.32153
Epoca 420, RMS = 0.32122
Epoca 421, RMS = 0.32090
Epoca 422, RMS = 0.32059
Epoca 423, RMS = 0.32028
Epoca 424, RMS = 0.31996
Epoca 425, RMS = 0.31964
Epoca 426, RMS = 0.31932
Epoca 427, RMS = 0.31899
Epoca 428, RMS = 0.31866
Epoca 429, RMS = 0.31832
Epoca 430, RMS = 0.31797
Epoca 431, RMS = 0.31762
Epoca 432, RMS = 0.31725
Epoca 433, RMS = 0.31688
Epoca 434, RMS = 0.31650
Epoca 435, RMS = 0.31611
Epoca 436, RMS = 0.31571
Epoca 437, RMS = 0.31530
Epoca 438, RMS = 0.31488
Epoca 439, RMS = 0.31445
Epoca 440, RMS = 0.31400
Epoca 441, RMS = 0.31355
Epoca 442, RMS = 0.31309
Epoca 443, RMS = 0.31262
Epoca 444, RMS = 0.31214
Epoca 445, RMS = 0.31165
Epoca 446, RMS = 0.31115
Epoca 447, RMS = 0.31064
Epoca 448, RMS = 0.31012
Epoca 449, RMS = 0.30960
Epoca 450, RMS = 0.30907
Epoca 451, RMS = 0.30854
Epoca 452, RMS = 0.30800
Epoca 453, RMS = 0.30746
Epoca 454, RMS = 0.30691
Epoca 455, RMS = 0.30636
Epoca 456, RMS = 0.30582
Epoca 457, RMS = 0.30527
Epoca 458, RMS = 0.30472
Epoca 459, RMS = 0.30418
Epoca 460, RMS = 0.30364
Epoca 461, RMS = 0.30310
Epoca 462, RMS = 0.30257
Epoca 463, RMS = 0.30204
Epoca 464, RMS = 0.30153
Epoca 465, RMS = 0.30102
Epoca 466, RMS = 0.30052
Epoca 467, RMS = 0.30004
Epoca 468, RMS = 0.29956
Epoca 469, RMS = 0.29910
Epoca 470, RMS = 0.29866
Epoca 471, RMS = 0.29822
Epoca 472, RMS = 0.29781
Epoca 473, RMS = 0.29741
Epoca 474, RMS = 0.29702
Epoca 475, RMS = 0.29665
Epoca 476, RMS = 0.29631
Epoca 477, RMS = 0.29598
Epoca 478, RMS = 0.29566
Epoca 479, RMS = 0.29537
Epoca 480, RMS = 0.29510
Epoca 481, RMS = 0.29484
Epoca 482, RMS = 0.29461
Epoca 483, RMS = 0.29439
Epoca 484, RMS = 0.29419
Epoca 485, RMS = 0.29401
Epoca 486, RMS = 0.29385
Epoca 487, RMS = 0.29370
Epoca 488, RMS = 0.29358
Epoca 489, RMS = 0.29347
Epoca 490, RMS = 0.29337
Epoca 491, RMS = 0.29329
Epoca 492, RMS = 0.29323
Epoca 493, RMS = 0.29318
Epoca 494, RMS = 0.29314
Epoca 495, RMS = 0.29312
Epoca 496, RMS = 0.29311
Epoca 497, RMS = 0.29310
Epoca 498, RMS = 0.29311
Epoca 499, RMS = 0.29313
Epoca 500, RMS = 0.29316
Epoca 501, RMS = 0.29319
Epoca 502, RMS = 0.29323
Epoca 503, RMS = 0.29328
Epoca 504, RMS = 0.29333
Epoca 505, RMS = 0.29339
Epoca 506, RMS = 0.29345
Epoca 507, RMS = 0.29352
Epoca 508, RMS = 0.29359
Epoca 509, RMS = 0.29367
Epoca 510, RMS = 0.29375
Epoca 511, RMS = 0.29384
Epoca 512, RMS = 0.29393
Epoca 513, RMS = 0.29403
