0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.75350
Epoca 2, RMS = 0.67546
Epoca 3, RMS = 0.62567
Epoca 4, RMS = 0.59349
Epoca 5, RMS = 0.57207
Epoca 6, RMS = 0.55735
Epoca 7, RMS = 0.54696
Epoca 8, RMS = 0.53950
Epoca 9, RMS = 0.53413
Epoca 10, RMS = 0.53030
Epoca 11, RMS = 0.52762
Epoca 12, RMS = 0.52580
Epoca 13, RMS = 0.52460
Epoca 14, RMS = 0.52383
Epoca 15, RMS = 0.52337
Epoca 16, RMS = 0.52311
Epoca 17, RMS = 0.52299
Epoca 18, RMS = 0.52295
Epoca 19, RMS = 0.52296
Epoca 20, RMS = 0.52301
Epoca 21, RMS = 0.52309
Epoca 22, RMS = 0.52318
Epoca 23, RMS = 0.52328
Epoca 24, RMS = 0.52340
Epoca 25, RMS = 0.52352
Epoca 26, RMS = 0.52365
Epoca 27, RMS = 0.52378
Epoca 28, RMS = 0.52392
Epoca 29, RMS = 0.52406
Epoca 30, RMS = 0.52420
Epoca 31, RMS = 0.52434
Epoca 32, RMS = 0.52447
Epoca 33, RMS = 0.52459
Epoca 34, RMS = 0.52470
Epoca 35, RMS = 0.52479
Epoca 36, RMS = 0.52485
Epoca 37, RMS = 0.52489
Epoca 38, RMS = 0.52490
Epoca 39, RMS = 0.52488
Epoca 40, RMS = 0.52483
Epoca 41, RMS = 0.52474
Epoca 42, RMS = 0.52461
Epoca 43, RMS = 0.52444
Epoca 44, RMS = 0.52423
Epoca 45, RMS = 0.52398
Epoca 46, RMS = 0.52368
Epoca 47, RMS = 0.52332
Epoca 48, RMS = 0.52291
Epoca 49, RMS = 0.52244
Epoca 50, RMS = 0.52190
Epoca 51, RMS = 0.52129
Epoca 52, RMS = 0.52062
Epoca 53, RMS = 0.51990
Epoca 54, RMS = 0.51918
Epoca 55, RMS = 0.51853
Epoca 56, RMS = 0.51805
Epoca 57, RMS = 0.51786
Epoca 58, RMS = 0.51805
Epoca 59, RMS = 0.51859
Epoca 60, RMS = 0.51938
Epoca 61, RMS = 0.52023
Epoca 62, RMS = 0.52100
Epoca 63, RMS = 0.52161
Epoca 64, RMS = 0.52205
Epoca 65, RMS = 0.52235
Epoca 66, RMS = 0.52253
Epoca 67, RMS = 0.52263
Epoca 68, RMS = 0.52266
Epoca 69, RMS = 0.52265
Epoca 70, RMS = 0.52261
Epoca 71, RMS = 0.52254
Epoca 72, RMS = 0.52244
Epoca 73, RMS = 0.52232
Epoca 74, RMS = 0.52218
Epoca 75, RMS = 0.52202
Epoca 76, RMS = 0.52184
Epoca 77, RMS = 0.52162
