0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 
0.33 -0.47 -0.48 -0.29 
-0.35 -0.13 0.03 -0.19 0.49 0.49 

##################LEARN##################
Epoca 182, RMS = 0.36270
Epoca 183, RMS = 0.36243
Epoca 184, RMS = 0.36215
Epoca 185, RMS = 0.36187
Epoca 186, RMS = 0.36159
Epoca 187, RMS = 0.36130
Epoca 188, RMS = 0.36101
Epoca 189, RMS = 0.36072
Epoca 190, RMS = 0.36043
Epoca 191, RMS = 0.36013
Epoca 192, RMS = 0.35983
Epoca 193, RMS = 0.35953
Epoca 194, RMS = 0.35922
Epoca 195, RMS = 0.35892
Epoca 196, RMS = 0.35861
Epoca 197, RMS = 0.35829
Epoca 198, RMS = 0.35798
Epoca 199, RMS = 0.35766
Epoca 200, RMS = 0.35734
Epoca 201, RMS = 0.35702
Epoca 202, RMS = 0.35670
Epoca 203, RMS = 0.35637
Epoca 204, RMS = 0.35605
Epoca 205, RMS = 0.35572
Epoca 206, RMS = 0.35539
Epoca 207, RMS = 0.35505
Epoca 208, RMS = 0.35472
Epoca 209, RMS = 0.35438
Epoca 210, RMS = 0.35404
Epoca 211, RMS = 0.35369
Epoca 212, RMS = 0.35335
Epoca 213, RMS = 0.35300
Epoca 214, RMS = 0.35265
Epoca 215, RMS = 0.35230
Epoca 216, RMS = 0.35194
Epoca 217, RMS = 0.35158
Epoca 218, RMS = 0.35122
Epoca 219, RMS = 0.35085
Epoca 220, RMS = 0.35048
Epoca 221, RMS = 0.35011
Epoca 222, RMS = 0.34973
Epoca 223, RMS = 0.34935
Epoca 224, RMS = 0.34895
Epoca 225, RMS = 0.34855
Epoca 226, RMS = 0.34814
Epoca 227, RMS = 0.34773
Epoca 228, RMS = 0.34729
Epoca 229, RMS = 0.34685
Epoca 230, RMS = 0.34639
Epoca 231, RMS = 0.34590
Epoca 232, RMS = 0.34540
Epoca 233, RMS = 0.34486
Epoca 234, RMS = 0.34429
Epoca 235, RMS = 0.34368
Epoca 236, RMS = 0.34302
Epoca 237, RMS = 0.34231
Epoca 238, RMS = 0.34153
Epoca 239, RMS = 0.34069
Epoca 240, RMS = 0.33977
Epoca 241, RMS = 0.33879
Epoca 242, RMS = 0.33778
Epoca 243, RMS = 0.33676
Epoca 244, RMS = 0.33579
Epoca 245, RMS = 0.33484
Epoca 246, RMS = 0.33378
Epoca 247, RMS = 0.33242
Epoca 248, RMS = 0.33070
Epoca 249, RMS = 0.32879
Epoca 250, RMS = 0.32697
Epoca 251, RMS = 0.32545
Epoca 252, RMS = 0.32437
Epoca 253, RMS = 0.32375
Epoca 254, RMS = 0.32352
Epoca 255, RMS = 0.32351
Epoca 256, RMS = 0.32354
Epoca 257, RMS = 0.32346
Epoca 258, RMS = 0.32320
Epoca 259, RMS = 0.32278
Epoca 260, RMS = 0.32227
Epoca 261, RMS = 0.32175
Epoca 262, RMS = 0.32129
Epoca 263, RMS = 0.32091
Epoca 264, RMS = 0.32063
Epoca 265, RMS = 0.32042
Epoca 266, RMS = 0.32024
Epoca 267, RMS = 0.32007
Epoca 268, RMS = 0.31987
Epoca 269, RMS = 0.31964
Epoca 270, RMS = 0.31938
Epoca 271, RMS = 0.31910
Epoca 272, RMS = 0.31883
Epoca 273, RMS = 0.31856
Epoca 274, RMS = 0.31830
Epoca 275, RMS = 0.31806
Epoca 276, RMS = 0.31783
Epoca 277, RMS = 0.31760
Epoca 278, RMS = 0.31737
Epoca 279, RMS = 0.31713
Epoca 280, RMS = 0.31689
Epoca 281, RMS = 0.31663
Epoca 282, RMS = 0.31638
Epoca 283, RMS = 0.31612
Epoca 284, RMS = 0.31587
Epoca 285, RMS = 0.31561
Epoca 286, RMS = 0.31536
Epoca 287, RMS = 0.31511
Epoca 288, RMS = 0.31486
Epoca 289, RMS = 0.31460
Epoca 290, RMS = 0.31434
Epoca 291, RMS = 0.31408
Epoca 292, RMS = 0.31382
Epoca 293, RMS = 0.31356
Epoca 294, RMS = 0.31330
Epoca 295, RMS = 0.31303
Epoca 296, RMS = 0.31277
Epoca 297, RMS = 0.31251
Epoca 298, RMS = 0.31224
