0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 185, RMS = 0.29539
Epoca 186, RMS = 0.29532
Epoca 187, RMS = 0.29523
Epoca 188, RMS = 0.29512
Epoca 189, RMS = 0.29495
Epoca 190, RMS = 0.29472
Epoca 191, RMS = 0.29442
Epoca 192, RMS = 0.29402
Epoca 193, RMS = 0.29355
Epoca 194, RMS = 0.29300
Epoca 195, RMS = 0.29238
Epoca 196, RMS = 0.29173
Epoca 197, RMS = 0.29106
Epoca 198, RMS = 0.29039
Epoca 199, RMS = 0.28975
Epoca 200, RMS = 0.28915
Epoca 201, RMS = 0.28861
Epoca 202, RMS = 0.28812
Epoca 203, RMS = 0.28769
Epoca 204, RMS = 0.28731
Epoca 205, RMS = 0.28698
Epoca 206, RMS = 0.28669
Epoca 207, RMS = 0.28642
Epoca 208, RMS = 0.28617
Epoca 209, RMS = 0.28594
Epoca 210, RMS = 0.28570
Epoca 211, RMS = 0.28547
Epoca 212, RMS = 0.28521
Epoca 213, RMS = 0.28493
Epoca 214, RMS = 0.28462
Epoca 215, RMS = 0.28426
Epoca 216, RMS = 0.28386
Epoca 217, RMS = 0.28340
Epoca 218, RMS = 0.28291
Epoca 219, RMS = 0.28238
Epoca 220, RMS = 0.28182
Epoca 221, RMS = 0.28125
Epoca 222, RMS = 0.28069
Epoca 223, RMS = 0.28013
Epoca 224, RMS = 0.27959
Epoca 225, RMS = 0.27908
Epoca 226, RMS = 0.27859
Epoca 227, RMS = 0.27813
Epoca 228, RMS = 0.27770
Epoca 229, RMS = 0.27728
Epoca 230, RMS = 0.27688
Epoca 231, RMS = 0.27649
Epoca 232, RMS = 0.27610
Epoca 233, RMS = 0.27571
Epoca 234, RMS = 0.27530
Epoca 235, RMS = 0.27488
Epoca 236, RMS = 0.27443
Epoca 237, RMS = 0.27396
Epoca 238, RMS = 0.27346
Epoca 239, RMS = 0.27294
Epoca 240, RMS = 0.27240
Epoca 241, RMS = 0.27184
Epoca 242, RMS = 0.27127
Epoca 243, RMS = 0.27069
Epoca 244, RMS = 0.27011
Epoca 245, RMS = 0.26953
Epoca 246, RMS = 0.26896
Epoca 247, RMS = 0.26839
Epoca 248, RMS = 0.26782
Epoca 249, RMS = 0.26725
Epoca 250, RMS = 0.26669
Epoca 251, RMS = 0.26611
Epoca 252, RMS = 0.26554
Epoca 253, RMS = 0.26495
Epoca 254, RMS = 0.26435
Epoca 255, RMS = 0.26373
Epoca 256, RMS = 0.26309
Epoca 257, RMS = 0.26244
Epoca 258, RMS = 0.26177
Epoca 259, RMS = 0.26108
Epoca 260, RMS = 0.26038
Epoca 261, RMS = 0.25966
Epoca 262, RMS = 0.25893
Epoca 263, RMS = 0.25819
Epoca 264, RMS = 0.25744
Epoca 265, RMS = 0.25668
Epoca 266, RMS = 0.25591
