0.47 0.31 
0.15 -0.04 
-0.45 -0.36 
-0.21 0.18 
0.17 -0.40 -0.40 0.39 
0.28 -0.43 -0.49 0.22 
-0.00 0.04 -0.24 0.48 0.11 0.22 

##################LEARN##################
Epoca 162 | FALLOS = 4 100%
Epoca 163 | ACIERTOS = 0 0%
Epoca 163 | FALLOS = 4 100%
Epoca 164 | ACIERTOS = 0 0%
Epoca 164 | FALLOS = 4 100%
Epoca 165 | ACIERTOS = 0 0%
Epoca 165 | FALLOS = 4 100%
Epoca 166 | ACIERTOS = 0 0%
Epoca 166 | FALLOS = 4 100%
Epoca 167 | ACIERTOS = 0 0%
Epoca 167 | FALLOS = 4 100%
Epoca 168 | ACIERTOS = 0 0%
Epoca 168 | FALLOS = 4 100%
Epoca 169 | ACIERTOS = 0 0%
Epoca 169 | FALLOS = 4 100%
Epoca 170 | ACIERTOS = 0 0%
Epoca 170 | FALLOS = 4 100%
Epoca 171 | ACIERTOS = 0 0%
Epoca 171 | FALLOS = 4 100%
Epoca 172 | ACIERTOS = 0 0%
Epoca 172 | FALLOS = 4 100%
Epoca 173 | ACIERTOS = 0 0%
Epoca 173 | FALLOS = 4 100%
Epoca 174 | ACIERTOS = 0 0%
Epoca 174 | FALLOS = 4 100%
Epoca 175 | ACIERTOS = 0 0%
Epoca 175 | FALLOS = 4 100%
Epoca 176 | ACIERTOS = 0 0%
Epoca 176 | FALLOS = 4 100%
Epoca 177 | ACIERTOS = 0 0%
Epoca 177 | FALLOS = 4 100%
Epoca 178 | ACIERTOS = 0 0%
Epoca 178 | FALLOS = 4 100%
Epoca 179 | ACIERTOS = 0 0%
Epoca 179 | FALLOS = 4 100%
Epoca 180 | ACIERTOS = 0 0%
Epoca 180 | FALLOS = 4 100%
Epoca 181 | ACIERTOS = 0 0%
Epoca 181 | FALLOS = 4 100%
Epoca 182 | ACIERTOS = 0 0%
Epoca 182 | FALLOS = 4 100%
Epoca 183 | ACIERTOS = 0 0%
Epoca 183 | FALLOS = 4 100%
Epoca 184 | ACIERTOS = 0 0%
Epoca 184 | FALLOS = 4 100%
Epoca 185 | ACIERTOS = 0 0%
Epoca 185 | FALLOS = 4 100%
Epoca 186 | ACIERTOS = 0 0%
Epoca 186 | FALLOS = 4 100%
Epoca 187 | ACIERTOS = 0 0%
Epoca 187 | FALLOS = 4 100%
Epoca 188 | ACIERTOS = 0 0%
Epoca 188 | FALLOS = 4 100%
Epoca 189 | ACIERTOS = 0 0%
Epoca 189 | FALLOS = 4 100%
Epoca 190 | ACIERTOS = 0 0%
