0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.77650
Epoca 2, RMS = 0.62036
Epoca 3, RMS = 0.54270
Epoca 4, RMS = 0.49908
Epoca 5, RMS = 0.47102
Epoca 6, RMS = 0.45258
Epoca 7, RMS = 0.44075
Epoca 8, RMS = 0.43322
Epoca 9, RMS = 0.42839
Epoca 10, RMS = 0.42520
Epoca 11, RMS = 0.42302
Epoca 12, RMS = 0.42146
Epoca 13, RMS = 0.42026
Epoca 14, RMS = 0.41927
Epoca 15, RMS = 0.41840
Epoca 16, RMS = 0.41759
Epoca 17, RMS = 0.41680
Epoca 18, RMS = 0.41600
Epoca 19, RMS = 0.41518
Epoca 20, RMS = 0.41433
Epoca 21, RMS = 0.41346
Epoca 22, RMS = 0.41258
Epoca 23, RMS = 0.41172
Epoca 24, RMS = 0.41092
Epoca 25, RMS = 0.41024
Epoca 26, RMS = 0.40977
Epoca 27, RMS = 0.40958
Epoca 28, RMS = 0.40973
Epoca 29, RMS = 0.41021
Epoca 30, RMS = 0.41094
Epoca 31, RMS = 0.41178
Epoca 32, RMS = 0.41256
Epoca 33, RMS = 0.41315
Epoca 34, RMS = 0.41349
Epoca 35, RMS = 0.41358
Epoca 36, RMS = 0.41343
Epoca 37, RMS = 0.41309
Epoca 38, RMS = 0.41259
Epoca 39, RMS = 0.41197
Epoca 40, RMS = 0.41124
Epoca 41, RMS = 0.41042
Epoca 42, RMS = 0.40952
Epoca 43, RMS = 0.40856
Epoca 44, RMS = 0.40755
Epoca 45, RMS = 0.40653
Epoca 46, RMS = 0.40555
Epoca 47, RMS = 0.40469
Epoca 48, RMS = 0.40404
Epoca 49, RMS = 0.40373
Epoca 50, RMS = 0.40388
Epoca 51, RMS = 0.40458
Epoca 52, RMS = 0.40580
Epoca 53, RMS = 0.40744
Epoca 54, RMS = 0.40927
Epoca 55, RMS = 0.41106
Epoca 56, RMS = 0.41264
Epoca 57, RMS = 0.41390
Epoca 58, RMS = 0.41482
Epoca 59, RMS = 0.41544
Epoca 60, RMS = 0.41578
Epoca 61, RMS = 0.41591
Epoca 62, RMS = 0.41585
Epoca 63, RMS = 0.41565
Epoca 64, RMS = 0.41531
Epoca 65, RMS = 0.41486
Epoca 66, RMS = 0.41432
Epoca 67, RMS = 0.41368
Epoca 68, RMS = 0.41296
Epoca 69, RMS = 0.41216
Epoca 70, RMS = 0.41130
Epoca 71, RMS = 0.41038
Epoca 72, RMS = 0.40942
Epoca 73, RMS = 0.40842
Epoca 74, RMS = 0.40737
Epoca 75, RMS = 0.40621
Epoca 76, RMS = 0.40481
Epoca 77, RMS = 0.40291
Epoca 78, RMS = 0.40050
Epoca 79, RMS = 0.40060
Epoca 80, RMS = 0.41314
Epoca 81, RMS = 0.42887
Epoca 82, RMS = 0.42895
Epoca 83, RMS = 0.42279
Epoca 84, RMS = 0.41700
Epoca 85, RMS = 0.41279
Epoca 86, RMS = 0.40998
Epoca 87, RMS = 0.40827
Epoca 88, RMS = 0.40743
Epoca 89, RMS = 0.40725
Epoca 90, RMS = 0.40753
Epoca 91, RMS = 0.40807
Epoca 92, RMS = 0.40868
Epoca 93, RMS = 0.40923
Epoca 94, RMS = 0.40965
Epoca 95, RMS = 0.40988
Epoca 96, RMS = 0.40993
Epoca 97, RMS = 0.40979
Epoca 98, RMS = 0.40946
Epoca 99, RMS = 0.40894
Epoca 100, RMS = 0.40824
Epoca 101, RMS = 0.40732
Epoca 102, RMS = 0.40617
Epoca 103, RMS = 0.40474
Epoca 104, RMS = 0.40300
Epoca 105, RMS = 0.40091
Epoca 106, RMS = 0.39851
Epoca 107, RMS = 0.39601
Epoca 108, RMS = 0.39398
Epoca 109, RMS = 0.39325
Epoca 110, RMS = 0.39387
Epoca 111, RMS = 0.39476
Epoca 112, RMS = 0.39537
Epoca 113, RMS = 0.39592
Epoca 114, RMS = 0.39662
Epoca 115, RMS = 0.39746
Epoca 116, RMS = 0.39826
Epoca 117, RMS = 0.39886
Epoca 118, RMS = 0.39917
Epoca 119, RMS = 0.39921
Epoca 120, RMS = 0.39904
Epoca 121, RMS = 0.39871
Epoca 122, RMS = 0.39823
Epoca 123, RMS = 0.39760
Epoca 124, RMS = 0.39682
Epoca 125, RMS = 0.39584
Epoca 126, RMS = 0.39462
Epoca 127, RMS = 0.39311
Epoca 128, RMS = 0.39125
Epoca 129, RMS = 0.38895
Epoca 130, RMS = 0.38611
Epoca 131, RMS = 0.38261
Epoca 132, RMS = 0.37833
Epoca 133, RMS = 0.37319
Epoca 134, RMS = 0.36740
Epoca 135, RMS = 0.36190
Epoca 136, RMS = 0.35918
Epoca 137, RMS = 0.36276
Epoca 138, RMS = 0.37237
Epoca 139, RMS = 0.38133
Epoca 140, RMS = 0.38458
Epoca 141, RMS = 0.38259
Epoca 142, RMS = 0.37775
Epoca 143, RMS = 0.37192
Epoca 144, RMS = 0.36618
Epoca 145, RMS = 0.36111
Epoca 146, RMS = 0.35693
Epoca 147, RMS = 0.35364
Epoca 148, RMS = 0.35130
Epoca 149, RMS = 0.35014
Epoca 150, RMS = 0.35033
Epoca 151, RMS = 0.35169
Epoca 152, RMS = 0.35348
Epoca 153, RMS = 0.35473
Epoca 154, RMS = 0.35477
Epoca 155, RMS = 0.35358
Epoca 156, RMS = 0.35162
Epoca 157, RMS = 0.34947
Epoca 158, RMS = 0.34752
Epoca 159, RMS = 0.34602
Epoca 160, RMS = 0.34503
Epoca 161, RMS = 0.34451
Epoca 162, RMS = 0.34423
Epoca 163, RMS = 0.34390
Epoca 164, RMS = 0.34322
Epoca 165, RMS = 0.34208
