0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 0.41 
-0.16 0.44 0.21 
0.33 -0.47 -0.48 -0.29 -0.35 

##################LEARN##################
Epoca 183, RMS = 0.32720
Epoca 184, RMS = 0.32633
Epoca 185, RMS = 0.32544
Epoca 186, RMS = 0.32456
Epoca 187, RMS = 0.32367
Epoca 188, RMS = 0.32278
Epoca 189, RMS = 0.32189
Epoca 190, RMS = 0.32099
Epoca 191, RMS = 0.32010
Epoca 192, RMS = 0.31920
Epoca 193, RMS = 0.31830
Epoca 194, RMS = 0.31740
Epoca 195, RMS = 0.31650
Epoca 196, RMS = 0.31560
Epoca 197, RMS = 0.31470
Epoca 198, RMS = 0.31380
Epoca 199, RMS = 0.31290
Epoca 200, RMS = 0.31200
Epoca 201, RMS = 0.31111
Epoca 202, RMS = 0.31021
Epoca 203, RMS = 0.30931
Epoca 204, RMS = 0.30842
Epoca 205, RMS = 0.30752
Epoca 206, RMS = 0.30663
Epoca 207, RMS = 0.30574
Epoca 208, RMS = 0.30485
Epoca 209, RMS = 0.30396
Epoca 210, RMS = 0.30308
Epoca 211, RMS = 0.30220
Epoca 212, RMS = 0.30132
Epoca 213, RMS = 0.30045
Epoca 214, RMS = 0.29957
Epoca 215, RMS = 0.29870
Epoca 216, RMS = 0.29784
Epoca 217, RMS = 0.29698
Epoca 218, RMS = 0.29612
Epoca 219, RMS = 0.29526
Epoca 220, RMS = 0.29441
Epoca 221, RMS = 0.29357
Epoca 222, RMS = 0.29272
Epoca 223, RMS = 0.29189
Epoca 224, RMS = 0.29105
Epoca 225, RMS = 0.29022
Epoca 226, RMS = 0.28940
Epoca 227, RMS = 0.28858
Epoca 228, RMS = 0.28776
Epoca 229, RMS = 0.28695
Epoca 230, RMS = 0.28615
Epoca 231, RMS = 0.28534
Epoca 232, RMS = 0.28455
Epoca 233, RMS = 0.28376
Epoca 234, RMS = 0.28297
Epoca 235, RMS = 0.28219
Epoca 236, RMS = 0.28141
Epoca 237, RMS = 0.28064
Epoca 238, RMS = 0.27988
Epoca 239, RMS = 0.27911
Epoca 240, RMS = 0.27836
Epoca 241, RMS = 0.27761
Epoca 242, RMS = 0.27686
Epoca 243, RMS = 0.27612
Epoca 244, RMS = 0.27539
Epoca 245, RMS = 0.27466
Epoca 246, RMS = 0.27393
Epoca 247, RMS = 0.27321
Epoca 248, RMS = 0.27249
Epoca 249, RMS = 0.27178
Epoca 250, RMS = 0.27108
Epoca 251, RMS = 0.27038
Epoca 252, RMS = 0.26968
Epoca 253, RMS = 0.26899
Epoca 254, RMS = 0.26830
Epoca 255, RMS = 0.26762
Epoca 256, RMS = 0.26695
Epoca 257, RMS = 0.26627
Epoca 258, RMS = 0.26560
Epoca 259, RMS = 0.26494
Epoca 260, RMS = 0.26428
Epoca 261, RMS = 0.26363
Epoca 262, RMS = 0.26298
Epoca 263, RMS = 0.26233
Epoca 264, RMS = 0.26169
