0.33 0.25 
-0.13 0.04 
-0.34 0.31 
0.31 0.49 
-0.03 -0.30 -0.43 0.31 

##################LEARN##################
Epoca 75 | FALLOS = 3 75%
Epoca 76 | ACIERTOS = 1 25%
Epoca 76 | FALLOS = 3 75%
Epoca 77 | ACIERTOS = 2 50%
Epoca 77 | FALLOS = 2 50%
Epoca 78 | ACIERTOS = 2 50%
Epoca 78 | FALLOS = 2 50%
Epoca 79 | ACIERTOS = 2 50%
Epoca 79 | FALLOS = 2 50%
Epoca 80 | ACIERTOS = 2 50%
Epoca 80 | FALLOS = 2 50%
Epoca 81 | ACIERTOS = 2 50%
Epoca 81 | FALLOS = 2 50%
Epoca 82 | ACIERTOS = 2 50%
Epoca 82 | FALLOS = 2 50%
Epoca 83 | ACIERTOS = 2 50%
Epoca 83 | FALLOS = 2 50%
Epoca 84 | ACIERTOS = 2 50%
Epoca 84 | FALLOS = 2 50%
Epoca 85 | ACIERTOS = 2 50%
Epoca 85 | FALLOS = 2 50%
Epoca 86 | ACIERTOS = 2 50%
Epoca 86 | FALLOS = 2 50%
Epoca 87 | ACIERTOS = 2 50%
Epoca 87 | FALLOS = 2 50%
Epoca 88 | ACIERTOS = 2 50%
Epoca 88 | FALLOS = 2 50%
Epoca 89 | ACIERTOS = 1 25%
Epoca 89 | FALLOS = 3 75%
Epoca 90 | ACIERTOS = 2 50%
Epoca 90 | FALLOS = 2 50%
Epoca 91 | ACIERTOS = 2 50%
Epoca 91 | FALLOS = 2 50%
Epoca 92 | ACIERTOS = 1 25%
Epoca 92 | FALLOS = 3 75%
Epoca 93 | ACIERTOS = 1 25%
Epoca 93 | FALLOS = 3 75%
Epoca 94 | ACIERTOS = 2 50%
Epoca 94 | FALLOS = 2 50%
Epoca 95 | ACIERTOS = 2 50%
Epoca 95 | FALLOS = 2 50%
Epoca 96 | ACIERTOS = 2 50%
Epoca 96 | FALLOS = 2 50%
Epoca 97 | ACIERTOS = 2 50%
Epoca 97 | FALLOS = 2 50%
Epoca 98 | ACIERTOS = 2 50%
Epoca 98 | FALLOS = 2 50%
Epoca 99 | ACIERTOS = 2 50%
Epoca 99 | FALLOS = 2 50%
Epoca 100 | ACIERTOS = 2 50%
Epoca 100 | FALLOS = 2 50%
Epoca 101 | ACIERTOS = 2 50%
Epoca 101 | FALLOS = 2 50%
Epoca 102 | ACIERTOS = 2 50%
Epoca 102 | FALLOS = 2 50%
Epoca 103 | ACIERTOS = 2 50%
Epoca 103 | FALLOS = 2 50%
Epoca 104 | ACIERTOS = 2 50%
Epoca 104 | FALLOS = 2 50%
