-0.47 -0.11 0.44 0.04 -0.03 0.07 -0.49 -0.29 -0.28 
0.17 -0.44 -0.04 0.37 -0.37 -0.15 -0.26 -0.19 -0.48 
-0.38 0.12 0.27 -0.47 -0.47 0.16 -0.06 0.11 -0.22 
0.48 0.24 -0.07 0.40 0.27 0.32 0.34 -0.18 -0.21 
-0.09 -0.18 0.00 0.13 0.50 0.07 -0.41 0.37 0.20 
-0.06 -0.38 -0.50 -0.04 -0.26 0.12 -0.27 -0.23 0.16 
0.39 0.22 -0.23 -0.33 0.20 -0.49 
0.10 0.10 0.29 -0.09 -0.07 -0.39 
0.21 0.34 -0.07 -0.29 -0.03 -0.07 0.28 0.06 

##################LEARN##################
Epoca 168, RMS = 0.06003
Epoca 169, RMS = 0.06777
Epoca 170, RMS = 0.06565
Epoca 171, RMS = 0.05936
Epoca 172, RMS = 0.06785
Epoca 173, RMS = 0.06431
Epoca 174, RMS = 0.05928
Epoca 175, RMS = 0.06863
Epoca 176, RMS = 0.06403
Epoca 177, RMS = 0.05766
Epoca 178, RMS = 0.06644
Epoca 179, RMS = 0.06619
Epoca 180, RMS = 0.06073
Epoca 181, RMS = 0.06225
Epoca 182, RMS = 0.06545
Epoca 183, RMS = 0.06301
Epoca 184, RMS = 0.06128
Epoca 185, RMS = 0.06466
Epoca 186, RMS = 0.06245
Epoca 187, RMS = 0.06185
Epoca 188, RMS = 0.06527
Epoca 189, RMS = 0.06084
Epoca 190, RMS = 0.06318
Epoca 191, RMS = 0.06501
Epoca 192, RMS = 0.06032
Epoca 193, RMS = 0.06458
Epoca 194, RMS = 0.06339
Epoca 195, RMS = 0.06126
Epoca 196, RMS = 0.06552
Epoca 197, RMS = 0.06156
Epoca 198, RMS = 0.06269
Epoca 199, RMS = 0.06585
Epoca 200, RMS = 0.06038
Epoca 201, RMS = 0.06351
Epoca 202, RMS = 0.06609
Epoca 203, RMS = 0.06034
Epoca 204, RMS = 0.06285
Epoca 205, RMS = 0.06725
Epoca 206, RMS = 0.06148
Epoca 207, RMS = 0.06103
Epoca 208, RMS = 0.06922
Epoca 209, RMS = 0.06375
Epoca 210, RMS = 0.05937
Epoca 211, RMS = 0.07075
Epoca 212, RMS = 0.06578
Epoca 213, RMS = 0.05913
Epoca 214, RMS = 0.07038
Epoca 215, RMS = 0.06637
Epoca 216, RMS = 0.06050
Epoca 217, RMS = 0.06668
Epoca 218, RMS = 0.06595
Epoca 219, RMS = 0.06124
Epoca 220, RMS = 0.06628
Epoca 221, RMS = 0.06419
Epoca 222, RMS = 0.06007
Epoca 223, RMS = 0.06586
Epoca 224, RMS = 0.06732
Epoca 225, RMS = 0.05870
Epoca 226, RMS = 0.06210
Epoca 227, RMS = 0.06944
Epoca 228, RMS = 0.06295
Epoca 229, RMS = 0.05954
Epoca 230, RMS = 0.06446
Epoca 231, RMS = 0.06493
Epoca 232, RMS = 0.06254
Epoca 233, RMS = 0.06196
Epoca 234, RMS = 0.06496
Epoca 235, RMS = 0.06175
Epoca 236, RMS = 0.06234
Epoca 237, RMS = 0.06624
Epoca 238, RMS = 0.06014
Epoca 239, RMS = 0.06344
Epoca 240, RMS = 0.06594
Epoca 241, RMS = 0.05995
Epoca 242, RMS = 0.06447
Epoca 243, RMS = 0.06491
Epoca 244, RMS = 0.06048
Epoca 245, RMS = 0.06495
Epoca 246, RMS = 0.06413
Epoca 247, RMS = 0.06118
Epoca 248, RMS = 0.06491
Epoca 249, RMS = 0.06380
Epoca 250, RMS = 0.06183
Epoca 251, RMS = 0.06449
Epoca 252, RMS = 0.06384
Epoca 253, RMS = 0.06233
Epoca 254, RMS = 0.06381
Epoca 255, RMS = 0.06412
Epoca 256, RMS = 0.06260
Epoca 257, RMS = 0.06304
Epoca 258, RMS = 0.06447
Epoca 259, RMS = 0.06274
Epoca 260, RMS = 0.06239
Epoca 261, RMS = 0.06460
Epoca 262, RMS = 0.06307
Epoca 263, RMS = 0.06188
Epoca 264, RMS = 0.06422
Epoca 265, RMS = 0.06384
Epoca 266, RMS = 0.06163
Epoca 267, RMS = 0.06314
Epoca 268, RMS = 0.06498
Epoca 269, RMS = 0.06203
Epoca 270, RMS = 0.06183
Epoca 271, RMS = 0.06571
Epoca 272, RMS = 0.06321
Epoca 273, RMS = 0.06162
Epoca 274, RMS = 0.06496
Epoca 275, RMS = 0.06385
Epoca 276, RMS = 0.06200
Epoca 277, RMS = 0.06440
Epoca 278, RMS = 0.06384
Epoca 279, RMS = 0.06141
Epoca 280, RMS = 0.06340
Epoca 281, RMS = 0.06539
Epoca 282, RMS = 0.06168
Epoca 283, RMS = 0.06206
Epoca 284, RMS = 0.06546
Epoca 285, RMS = 0.06250
Epoca 286, RMS = 0.06186
Epoca 287, RMS = 0.06468
Epoca 288, RMS = 0.06336
Epoca 289, RMS = 0.06117
Epoca 290, RMS = 0.06321
Epoca 291, RMS = 0.06514
Epoca 292, RMS = 0.06083
Epoca 293, RMS = 0.06246
Epoca 294, RMS = 0.06502
Epoca 295, RMS = 0.06151
Epoca 296, RMS = 0.06278
Epoca 297, RMS = 0.06336
Epoca 298, RMS = 0.06301
Epoca 299, RMS = 0.06190
Epoca 300, RMS = 0.06205
Epoca 301, RMS = 0.06534
Epoca 302, RMS = 0.06074
Epoca 303, RMS = 0.06156
Epoca 304, RMS = 0.06566
Epoca 305, RMS = 0.06093
Epoca 306, RMS = 0.06206
Epoca 307, RMS = 0.06413
Epoca 308, RMS = 0.06189
Epoca 309, RMS = 0.06249
Epoca 310, RMS = 0.06230
Epoca 311, RMS = 0.06330
Epoca 312, RMS = 0.06214
Epoca 313, RMS = 0.06144
Epoca 314, RMS = 0.06406
Epoca 315, RMS = 0.06191
Epoca 316, RMS = 0.06147
Epoca 317, RMS = 0.06351
Epoca 318, RMS = 0.06227
Epoca 319, RMS = 0.06197
Epoca 320, RMS = 0.06235
Epoca 321, RMS = 0.06305
Epoca 322, RMS = 0.06204
Epoca 323, RMS = 0.06156
Epoca 324, RMS = 0.06378
Epoca 325, RMS = 0.06178
Epoca 326, RMS = 0.06138
Epoca 327, RMS = 0.06361
Epoca 328, RMS = 0.06212
Epoca 329, RMS = 0.06166
Epoca 330, RMS = 0.06257
Epoca 331, RMS = 0.06306
Epoca 332, RMS = 0.06180
Epoca 333, RMS = 0.06163
Epoca 334, RMS = 0.06416
Epoca 335, RMS = 0.06143
Epoca 336, RMS = 0.06126
Epoca 337, RMS = 0.06446
Epoca 338, RMS = 0.06153
Epoca 339, RMS = 0.06123
Epoca 340, RMS = 0.06317
Epoca 341, RMS = 0.06289
Epoca 342, RMS = 0.06192
Epoca 343, RMS = 0.06144
Epoca 344, RMS = 0.06400
Epoca 345, RMS = 0.06238
Epoca 346, RMS = 0.06042
Epoca 347, RMS = 0.06558
Epoca 348, RMS = 0.06210
Epoca 349, RMS = 0.05960
Epoca 350, RMS = 0.06476
Epoca 351, RMS = 0.06366
Epoca 352, RMS = 0.06044
Epoca 353, RMS = 0.06008
Epoca 354, RMS = 0.06292
Epoca 355, RMS = 0.06499
Epoca 356, RMS = 0.06166
Epoca 357, RMS = 0.06094
Epoca 358, RMS = 0.06521
Epoca 359, RMS = 0.06359
Epoca 360, RMS = 0.05992
Epoca 361, RMS = 0.06774
Epoca 362, RMS = 0.06246
Epoca 363, RMS = 0.05707
Epoca 364, RMS = 0.06446
Epoca 365, RMS = 0.06623
Epoca 366, RMS = 0.06259
Epoca 367, RMS = 0.06326
Epoca 368, RMS = 0.06008
Epoca 369, RMS = 0.06172
Epoca 370, RMS = 0.06298
Epoca 371, RMS = 0.06199
Epoca 372, RMS = 0.06124
Epoca 373, RMS = 0.06385
Epoca 374, RMS = 0.06356
Epoca 375, RMS = 0.06107
Epoca 376, RMS = 0.06441
Epoca 377, RMS = 0.06258
Epoca 378, RMS = 0.05982
Epoca 379, RMS = 0.06497
Epoca 380, RMS = 0.06059
Epoca 381, RMS = 0.05754
Epoca 382, RMS = 0.06643
Epoca 383, RMS = 0.06268
Epoca 384, RMS = 0.05726
Epoca 385, RMS = 0.06075
Epoca 386, RMS = 0.06624
Epoca 387, RMS = 0.06171
Epoca 388, RMS = 0.06245
Epoca 389, RMS = 0.06558
Epoca 390, RMS = 0.06043
Epoca 391, RMS = 0.06210
Epoca 392, RMS = 0.06614
Epoca 393, RMS = 0.06330
Epoca 394, RMS = 0.05809
Epoca 395, RMS = 0.05961
Epoca 396, RMS = 0.06311
Epoca 397, RMS = 0.06549
Epoca 398, RMS = 0.05861
Epoca 399, RMS = 0.05863
Epoca 400, RMS = 0.06552
Epoca 401, RMS = 0.06141
Epoca 402, RMS = 0.05735
Epoca 403, RMS = 0.06452
Epoca 404, RMS = 0.06373
Epoca 405, RMS = 0.05724
Epoca 406, RMS = 0.06236
Epoca 407, RMS = 0.06604
Epoca 408, RMS = 0.05884
Epoca 409, RMS = 0.06075
Epoca 410, RMS = 0.06592
Epoca 411, RMS = 0.06199
Epoca 412, RMS = 0.06098
Epoca 413, RMS = 0.06317
Epoca 414, RMS = 0.06525
Epoca 415, RMS = 0.06017
Epoca 416, RMS = 0.06124
Epoca 417, RMS = 0.06411
Epoca 418, RMS = 0.06135
Epoca 419, RMS = 0.06140
Epoca 420, RMS = 0.06084
Epoca 421, RMS = 0.06495
Epoca 422, RMS = 0.06056
Epoca 423, RMS = 0.05715
Epoca 424, RMS = 0.06418
Epoca 425, RMS = 0.06637
Epoca 426, RMS = 0.05770
Epoca 427, RMS = 0.05965
