0.19 0.42 -0.35 0.08 
0.01 -0.19 -0.46 -0.08 
0.21 -0.08 
-0.03 -0.15 
-0.28 0.05 
0.24 0.03 -0.16 -0.13 0.38 

##################LEARN##################
Epoca 74 | FALLOS = 108 72%
Epoca 75 | ACIERTOS = 42 28%
Epoca 75 | FALLOS = 108 72%
Epoca 76 | ACIERTOS = 42 28%
Epoca 76 | FALLOS = 108 72%
Epoca 77 | ACIERTOS = 42 28%
Epoca 77 | FALLOS = 108 72%
Epoca 78 | ACIERTOS = 42 28%
Epoca 78 | FALLOS = 108 72%
Epoca 79 | ACIERTOS = 42 28%
Epoca 79 | FALLOS = 108 72%
Epoca 80 | ACIERTOS = 42 28%
Epoca 80 | FALLOS = 108 72%
Epoca 81 | ACIERTOS = 42 28%
Epoca 81 | FALLOS = 108 72%
Epoca 82 | ACIERTOS = 42 28%
Epoca 82 | FALLOS = 108 72%
Epoca 83 | ACIERTOS = 42 28%
Epoca 83 | FALLOS = 108 72%
Epoca 84 | ACIERTOS = 42 28%
Epoca 84 | FALLOS = 108 72%
Epoca 85 | ACIERTOS = 42 28%
Epoca 85 | FALLOS = 108 72%
Epoca 86 | ACIERTOS = 42 28%
Epoca 86 | FALLOS = 108 72%
Epoca 87 | ACIERTOS = 42 28%
Epoca 87 | FALLOS = 108 72%
Epoca 88 | ACIERTOS = 42 28%
Epoca 88 | FALLOS = 108 72%
Epoca 89 | ACIERTOS = 42 28%
Epoca 89 | FALLOS = 108 72%
Epoca 90 | ACIERTOS = 42 28%
Epoca 90 | FALLOS = 108 72%
Epoca 91 | ACIERTOS = 42 28%
Epoca 91 | FALLOS = 108 72%
Epoca 92 | ACIERTOS = 42 28%
Epoca 92 | FALLOS = 108 72%
Epoca 93 | ACIERTOS = 42 28%
Epoca 93 | FALLOS = 108 72%
Epoca 94 | ACIERTOS = 42 28%
Epoca 94 | FALLOS = 108 72%
Epoca 95 | ACIERTOS = 42 28%
Epoca 95 | FALLOS = 108 72%
Epoca 96 | ACIERTOS = 42 28%
Epoca 96 | FALLOS = 108 72%
Epoca 97 | ACIERTOS = 42 28%
Epoca 97 | FALLOS = 108 72%
Epoca 98 | ACIERTOS = 42 28%
Epoca 98 | FALLOS = 108 72%
Epoca 99 | ACIERTOS = 42 28%
Epoca 99 | FALLOS = 108 72%
Epoca 100 | ACIERTOS = 42 28%
Epoca 100 | FALLOS = 108 72%
Epoca 101 | ACIERTOS = 42 28%
Epoca 101 | FALLOS = 108 72%
Epoca 102 | ACIERTOS = 42 28%
Epoca 102 | FALLOS = 108 72%
Epoca 103 | ACIERTOS = 42 28%
Epoca 103 | FALLOS = 108 72%
Epoca 104 | ACIERTOS = 42 28%
Epoca 104 | FALLOS = 108 72%
Epoca 105 | ACIERTOS = 42 28%
Epoca 105 | FALLOS = 108 72%
Epoca 106 | ACIERTOS = 42 28%
Epoca 106 | FALLOS = 108 72%
Epoca 107 | ACIERTOS = 42 28%
Epoca 107 | FALLOS = 108 72%
Epoca 108 | ACIERTOS = 42 28%
Epoca 108 | FALLOS = 108 72%
Epoca 109 | ACIERTOS = 42 28%
Epoca 109 | FALLOS = 108 72%
Epoca 110 | ACIERTOS = 42 28%
Epoca 110 | FALLOS = 108 72%
Epoca 111 | ACIERTOS = 42 28%
Epoca 111 | FALLOS = 108 72%
Epoca 112 | ACIERTOS = 42 28%
Epoca 112 | FALLOS = 108 72%
Epoca 113 | ACIERTOS = 42 28%
Epoca 113 | FALLOS = 108 72%
Epoca 114 | ACIERTOS = 42 28%
Epoca 114 | FALLOS = 108 72%
Epoca 115 | ACIERTOS = 42 28%
Epoca 115 | FALLOS = 108 72%
Epoca 116 | ACIERTOS = 42 28%
Epoca 116 | FALLOS = 108 72%
Epoca 117 | ACIERTOS = 42 28%
Epoca 117 | FALLOS = 108 72%
Epoca 118 | ACIERTOS = 42 28%
Epoca 118 | FALLOS = 108 72%
Epoca 119 | ACIERTOS = 42 28%
Epoca 119 | FALLOS = 108 72%
Epoca 120 | ACIERTOS = 42 28%
Epoca 120 | FALLOS = 108 72%
Epoca 121 | ACIERTOS = 42 28%
Epoca 121 | FALLOS = 108 72%
Epoca 122 | ACIERTOS = 42 28%
