0.19 -0.16 0.22 -0.04 -0.38 0.42 0.14 -0.16 -0.42 
0.45 0.01 -0.12 0.14 0.28 -0.37 0.41 -0.35 0.39 
-0.07 0.16 
0.12 -0.05 
-0.17 -0.39 0.07 0.16 

##################LEARN##################
Epoca 181, RMS = 0.07193
Epoca 182, RMS = 0.07573
Epoca 183, RMS = 0.06990
Epoca 184, RMS = 0.07176
Epoca 185, RMS = 0.06871
Epoca 186, RMS = 0.07380
Epoca 187, RMS = 0.07772
Epoca 188, RMS = 0.07288
Epoca 189, RMS = 0.07394
Epoca 190, RMS = 0.07296
Epoca 191, RMS = 0.06802
Epoca 192, RMS = 0.06967
Epoca 193, RMS = 0.06890
Epoca 194, RMS = 0.07426
Epoca 195, RMS = 0.06935
Epoca 196, RMS = 0.07077
Epoca 197, RMS = 0.06589
Epoca 198, RMS = 0.06756
Epoca 199, RMS = 0.06899
Epoca 200, RMS = 0.07339
Epoca 201, RMS = 0.07391
Epoca 202, RMS = 0.07042
Epoca 203, RMS = 0.07203
Epoca 204, RMS = 0.06666
Epoca 205, RMS = 0.06902
Epoca 206, RMS = 0.07003
Epoca 207, RMS = 0.07146
Epoca 208, RMS = 0.07090
Epoca 209, RMS = 0.06995
Epoca 210, RMS = 0.07068
Epoca 211, RMS = 0.06612
Epoca 212, RMS = 0.06931
Epoca 213, RMS = 0.07079
Epoca 214, RMS = 0.06775
Epoca 215, RMS = 0.06907
Epoca 216, RMS = 0.06693
Epoca 217, RMS = 0.07295
Epoca 218, RMS = 0.06827
Epoca 219, RMS = 0.06932
Epoca 220, RMS = 0.06527
Epoca 221, RMS = 0.06949
Epoca 222, RMS = 0.07341
Epoca 223, RMS = 0.06910
Epoca 224, RMS = 0.06993
Epoca 225, RMS = 0.06662
Epoca 226, RMS = 0.07091
Epoca 227, RMS = 0.07527
Epoca 228, RMS = 0.06969
Epoca 229, RMS = 0.07139
Epoca 230, RMS = 0.06660
Epoca 231, RMS = 0.07056
Epoca 232, RMS = 0.07359
Epoca 233, RMS = 0.06898
Epoca 234, RMS = 0.07035
Epoca 235, RMS = 0.06505
Epoca 236, RMS = 0.06837
Epoca 237, RMS = 0.06809
Epoca 238, RMS = 0.07141
Epoca 239, RMS = 0.07811
Epoca 240, RMS = 0.07091
Epoca 241, RMS = 0.07289
Epoca 242, RMS = 0.07172
Epoca 243, RMS = 0.06910
Epoca 244, RMS = 0.08168
Epoca 245, RMS = 0.07339
Epoca 246, RMS = 0.07533
Epoca 247, RMS = 0.07583
Epoca 248, RMS = 0.06975
Epoca 249, RMS = 0.07124
Epoca 250, RMS = 0.06609
Epoca 251, RMS = 0.06928
Epoca 252, RMS = 0.06642
Epoca 253, RMS = 0.07094
Epoca 254, RMS = 0.07372
Epoca 255, RMS = 0.06922
Epoca 256, RMS = 0.06987
Epoca 257, RMS = 0.06474
Epoca 258, RMS = 0.06926
Epoca 259, RMS = 0.06899
Epoca 260, RMS = 0.07535
Epoca 261, RMS = 0.07078
Epoca 262, RMS = 0.07118
Epoca 263, RMS = 0.06764
Epoca 264, RMS = 0.07134
Epoca 265, RMS = 0.07302
Epoca 266, RMS = 0.07025
Epoca 267, RMS = 0.06970
Epoca 268, RMS = 0.06522
Epoca 269, RMS = 0.06870
Epoca 270, RMS = 0.06963
Epoca 271, RMS = 0.06864
Epoca 272, RMS = 0.07999
Epoca 273, RMS = 0.07185
Epoca 274, RMS = 0.07268
Epoca 275, RMS = 0.06995
Epoca 276, RMS = 0.07158
Epoca 277, RMS = 0.07582
Epoca 278, RMS = 0.07022
Epoca 279, RMS = 0.07170
Epoca 280, RMS = 0.06702
Epoca 281, RMS = 0.07013
Epoca 282, RMS = 0.07116
Epoca 283, RMS = 0.06972
Epoca 284, RMS = 0.06964
Epoca 285, RMS = 0.06547
Epoca 286, RMS = 0.06840
Epoca 287, RMS = 0.06788
Epoca 288, RMS = 0.07074
Epoca 289, RMS = 0.07524
Epoca 290, RMS = 0.07034
Epoca 291, RMS = 0.07116
Epoca 292, RMS = 0.06674
Epoca 293, RMS = 0.06927
Epoca 294, RMS = 0.06974
Epoca 295, RMS = 0.06864
Epoca 296, RMS = 0.07918
Epoca 297, RMS = 0.07216
Epoca 298, RMS = 0.07275
Epoca 299, RMS = 0.07028
Epoca 300, RMS = 0.07118
Epoca 301, RMS = 0.07488
Epoca 302, RMS = 0.07028
Epoca 303, RMS = 0.07113
Epoca 304, RMS = 0.06691
Epoca 305, RMS = 0.06918
Epoca 306, RMS = 0.07125
Epoca 307, RMS = 0.07021
Epoca 308, RMS = 0.07029
Epoca 309, RMS = 0.06727
Epoca 310, RMS = 0.06895
Epoca 311, RMS = 0.07004
Epoca 312, RMS = 0.07060
Epoca 313, RMS = 0.07232
Epoca 314, RMS = 0.06763
Epoca 315, RMS = 0.06879
Epoca 316, RMS = 0.06788
Epoca 317, RMS = 0.07107
Epoca 318, RMS = 0.07995
Epoca 319, RMS = 0.06899
Epoca 320, RMS = 0.07083
Epoca 321, RMS = 0.06812
Epoca 322, RMS = 0.07028
Epoca 323, RMS = 0.07001
Epoca 324, RMS = 0.06974
Epoca 325, RMS = 0.06937
Epoca 326, RMS = 0.06676
Epoca 327, RMS = 0.06881
Epoca 328, RMS = 0.06723
Epoca 329, RMS = 0.07142
Epoca 330, RMS = 0.07889
Epoca 331, RMS = 0.06873
Epoca 332, RMS = 0.07179
Epoca 333, RMS = 0.07039
Epoca 334, RMS = 0.07096
Epoca 335, RMS = 0.07334
Epoca 336, RMS = 0.06955
Epoca 337, RMS = 0.07142
Epoca 338, RMS = 0.07082
Epoca 339, RMS = 0.07124
Epoca 340, RMS = 0.07379
Epoca 341, RMS = 0.06963
Epoca 342, RMS = 0.07252
Epoca 343, RMS = 0.07183
Epoca 344, RMS = 0.07177
Epoca 345, RMS = 0.07383
Epoca 346, RMS = 0.06953
