-0.28 -0.46 -0.12 0.06 
0.47 0.47 -0.21 -0.10 
0.22 -0.43 
0.45 0.27 
0.21 -0.16 
0.29 0.13 0.31 0.06 -0.41 

##################LEARN##################
Epoca 74 | FALLOS = 107 71%
Epoca 75 | ACIERTOS = 43 29%
Epoca 75 | FALLOS = 107 71%
Epoca 76 | ACIERTOS = 43 29%
Epoca 76 | FALLOS = 107 71%
Epoca 77 | ACIERTOS = 43 29%
Epoca 77 | FALLOS = 107 71%
Epoca 78 | ACIERTOS = 43 29%
Epoca 78 | FALLOS = 107 71%
Epoca 79 | ACIERTOS = 43 29%
Epoca 79 | FALLOS = 107 71%
Epoca 80 | ACIERTOS = 43 29%
Epoca 80 | FALLOS = 107 71%
Epoca 81 | ACIERTOS = 43 29%
Epoca 81 | FALLOS = 107 71%
Epoca 82 | ACIERTOS = 43 29%
Epoca 82 | FALLOS = 107 71%
Epoca 83 | ACIERTOS = 43 29%
Epoca 83 | FALLOS = 107 71%
Epoca 84 | ACIERTOS = 43 29%
Epoca 84 | FALLOS = 107 71%
Epoca 85 | ACIERTOS = 43 29%
Epoca 85 | FALLOS = 107 71%
Epoca 86 | ACIERTOS = 43 29%
Epoca 86 | FALLOS = 107 71%
Epoca 87 | ACIERTOS = 43 29%
Epoca 87 | FALLOS = 107 71%
Epoca 88 | ACIERTOS = 43 29%
Epoca 88 | FALLOS = 107 71%
Epoca 89 | ACIERTOS = 43 29%
Epoca 89 | FALLOS = 107 71%
Epoca 90 | ACIERTOS = 43 29%
Epoca 90 | FALLOS = 107 71%
Epoca 91 | ACIERTOS = 43 29%
Epoca 91 | FALLOS = 107 71%
Epoca 92 | ACIERTOS = 43 29%
Epoca 92 | FALLOS = 107 71%
Epoca 93 | ACIERTOS = 43 29%
Epoca 93 | FALLOS = 107 71%
Epoca 94 | ACIERTOS = 43 29%
Epoca 94 | FALLOS = 107 71%
Epoca 95 | ACIERTOS = 43 29%
Epoca 95 | FALLOS = 107 71%
Epoca 96 | ACIERTOS = 43 29%
Epoca 96 | FALLOS = 107 71%
Epoca 97 | ACIERTOS = 43 29%
Epoca 97 | FALLOS = 107 71%
Epoca 98 | ACIERTOS = 43 29%
Epoca 98 | FALLOS = 107 71%
Epoca 99 | ACIERTOS = 43 29%
Epoca 99 | FALLOS = 107 71%
Epoca 100 | ACIERTOS = 43 29%
Epoca 100 | FALLOS = 107 71%
Epoca 101 | ACIERTOS = 43 29%
Epoca 101 | FALLOS = 107 71%
Epoca 102 | ACIERTOS = 43 29%
Epoca 102 | FALLOS = 107 71%
Epoca 103 | ACIERTOS = 43 29%
Epoca 103 | FALLOS = 107 71%
Epoca 104 | ACIERTOS = 43 29%
Epoca 104 | FALLOS = 107 71%
Epoca 105 | ACIERTOS = 43 29%
Epoca 105 | FALLOS = 107 71%
Epoca 106 | ACIERTOS = 43 29%
Epoca 106 | FALLOS = 107 71%
Epoca 107 | ACIERTOS = 43 29%
Epoca 107 | FALLOS = 107 71%
Epoca 108 | ACIERTOS = 43 29%
Epoca 108 | FALLOS = 107 71%
Epoca 109 | ACIERTOS = 43 29%
Epoca 109 | FALLOS = 107 71%
Epoca 110 | ACIERTOS = 43 29%
Epoca 110 | FALLOS = 107 71%
Epoca 111 | ACIERTOS = 43 29%
Epoca 111 | FALLOS = 107 71%
Epoca 112 | ACIERTOS = 43 29%
Epoca 112 | FALLOS = 107 71%
Epoca 113 | ACIERTOS = 43 29%
Epoca 113 | FALLOS = 107 71%
Epoca 114 | ACIERTOS = 43 29%
Epoca 114 | FALLOS = 107 71%
Epoca 115 | ACIERTOS = 43 29%
Epoca 115 | FALLOS = 107 71%
Epoca 116 | ACIERTOS = 43 29%
Epoca 116 | FALLOS = 107 71%
Epoca 117 | ACIERTOS = 43 29%
Epoca 117 | FALLOS = 107 71%
Epoca 118 | ACIERTOS = 43 29%
Epoca 118 | FALLOS = 107 71%
Epoca 119 | ACIERTOS = 43 29%
Epoca 119 | FALLOS = 107 71%
Epoca 120 | ACIERTOS = 43 29%
Epoca 120 | FALLOS = 107 71%
Epoca 121 | ACIERTOS = 43 29%
Epoca 121 | FALLOS = 107 71%
Epoca 122 | ACIERTOS = 43 29%
Epoca 122 | FALLOS = 107 71%
Epoca 123 | ACIERTOS = 43 29%
Epoca 123 | FALLOS = 107 71%
Epoca 124 | ACIERTOS = 43 29%
Epoca 124 | FALLOS = 107 71%
Epoca 125 | ACIERTOS = 43 29%
Epoca 125 | FALLOS = 107 71%
Epoca 126 | ACIERTOS = 43 29%
Epoca 126 | FALLOS = 107 71%
Epoca 127 | ACIERTOS = 43 29%
Epoca 127 | FALLOS = 107 71%
Epoca 128 | ACIERTOS = 43 29%
Epoca 128 | FALLOS = 107 71%
Epoca 129 | ACIERTOS = 43 29%
Epoca 129 | FALLOS = 107 71%
Epoca 130 | ACIERTOS = 43 29%
Epoca 130 | FALLOS = 107 71%
Epoca 131 | ACIERTOS = 43 29%
Epoca 131 | FALLOS = 107 71%
Epoca 132 | ACIERTOS = 43 29%
Epoca 132 | FALLOS = 107 71%
Epoca 133 | ACIERTOS = 43 29%
Epoca 133 | FALLOS = 107 71%
Epoca 134 | ACIERTOS = 43 29%
Epoca 134 | FALLOS = 107 71%
Epoca 135 | ACIERTOS = 43 29%
Epoca 135 | FALLOS = 107 71%
Epoca 136 | ACIERTOS = 43 29%
Epoca 136 | FALLOS = 107 71%
Epoca 137 | ACIERTOS = 43 29%
Epoca 137 | FALLOS = 107 71%
Epoca 138 | ACIERTOS = 43 29%
Epoca 138 | FALLOS = 107 71%
Epoca 139 | ACIERTOS = 43 29%
Epoca 139 | FALLOS = 107 71%
Epoca 140 | ACIERTOS = 43 29%
Epoca 140 | FALLOS = 107 71%
Epoca 141 | ACIERTOS = 43 29%
Epoca 141 | FALLOS = 107 71%
Epoca 142 | ACIERTOS = 43 29%
Epoca 142 | FALLOS = 107 71%
Epoca 143 | ACIERTOS = 43 29%
Epoca 143 | FALLOS = 107 71%
Epoca 144 | ACIERTOS = 43 29%
Epoca 144 | FALLOS = 107 71%
Epoca 145 | ACIERTOS = 43 29%
Epoca 145 | FALLOS = 107 71%
Epoca 146 | ACIERTOS = 43 29%
Epoca 146 | FALLOS = 107 71%
Epoca 147 | ACIERTOS = 43 29%
Epoca 147 | FALLOS = 107 71%
Epoca 148 | ACIERTOS = 43 29%
Epoca 148 | FALLOS = 107 71%
Epoca 149 | ACIERTOS = 43 29%
Epoca 149 | FALLOS = 107 71%
Epoca 150 | ACIERTOS = 43 29%
Epoca 150 | FALLOS = 107 71%
Epoca 151 | ACIERTOS = 43 29%
Epoca 151 | FALLOS = 107 71%
