0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.74106
Epoca 2, RMS = 0.61081
Epoca 3, RMS = 0.52221
Epoca 4, RMS = 0.46493
Epoca 5, RMS = 0.43040
Epoca 6, RMS = 0.41034
Epoca 7, RMS = 0.39874
Epoca 8, RMS = 0.39209
Epoca 9, RMS = 0.38835
Epoca 10, RMS = 0.38632
Epoca 11, RMS = 0.38528
Epoca 12, RMS = 0.38480
Epoca 13, RMS = 0.38465
Epoca 14, RMS = 0.38468
Epoca 15, RMS = 0.38481
Epoca 16, RMS = 0.38499
Epoca 17, RMS = 0.38519
Epoca 18, RMS = 0.38539
Epoca 19, RMS = 0.38557
Epoca 20, RMS = 0.38574
Epoca 21, RMS = 0.38588
Epoca 22, RMS = 0.38600
Epoca 23, RMS = 0.38608
Epoca 24, RMS = 0.38614
Epoca 25, RMS = 0.38617
Epoca 26, RMS = 0.38616
Epoca 27, RMS = 0.38612
Epoca 28, RMS = 0.38605
Epoca 29, RMS = 0.38595
Epoca 30, RMS = 0.38581
Epoca 31, RMS = 0.38564
Epoca 32, RMS = 0.38543
Epoca 33, RMS = 0.38518
Epoca 34, RMS = 0.38490
Epoca 35, RMS = 0.38456
Epoca 36, RMS = 0.38418
Epoca 37, RMS = 0.38376
Epoca 38, RMS = 0.38327
Epoca 39, RMS = 0.38273
Epoca 40, RMS = 0.38212
Epoca 41, RMS = 0.38144
Epoca 42, RMS = 0.38068
Epoca 43, RMS = 0.37983
Epoca 44, RMS = 0.37888
Epoca 45, RMS = 0.37782
Epoca 46, RMS = 0.37664
Epoca 47, RMS = 0.37531
Epoca 48, RMS = 0.37384
Epoca 49, RMS = 0.37221
Epoca 50, RMS = 0.37040
Epoca 51, RMS = 0.36845
Epoca 52, RMS = 0.36637
Epoca 53, RMS = 0.36428
Epoca 54, RMS = 0.36238
Epoca 55, RMS = 0.36101
Epoca 56, RMS = 0.36077
Epoca 57, RMS = 0.36238
Epoca 58, RMS = 0.36641
Epoca 59, RMS = 0.37257
Epoca 60, RMS = 0.37941
Epoca 61, RMS = 0.38507
Epoca 62, RMS = 0.38849
Epoca 63, RMS = 0.38969
Epoca 64, RMS = 0.38921
Epoca 65, RMS = 0.38766
Epoca 66, RMS = 0.38546
Epoca 67, RMS = 0.38288
Epoca 68, RMS = 0.38006
Epoca 69, RMS = 0.37711
Epoca 70, RMS = 0.37411
Epoca 71, RMS = 0.37114
Epoca 72, RMS = 0.36827
Epoca 73, RMS = 0.36556
Epoca 74, RMS = 0.36306
Epoca 75, RMS = 0.36081
Epoca 76, RMS = 0.35881
Epoca 77, RMS = 0.35708
Epoca 78, RMS = 0.35559
Epoca 79, RMS = 0.35431
Epoca 80, RMS = 0.35318
Epoca 81, RMS = 0.35216
Epoca 82, RMS = 0.35116
Epoca 83, RMS = 0.35012
Epoca 84, RMS = 0.34898
Epoca 85, RMS = 0.34767
Epoca 86, RMS = 0.34616
Epoca 87, RMS = 0.34445
Epoca 88, RMS = 0.34252
Epoca 89, RMS = 0.34038
