0.40 -0.47 
0.01 0.25 
-0.14 -0.28 
0.30 0.33 
-0.43 0.14 
-0.42 -0.15 
0.45 0.32 
-0.30 0.37 -0.44 -0.16 0.45 0.34 -0.17 
-0.31 -0.32 0.07 0.41 -0.19 -0.47 0.41 
0.38 0.20 -0.25 0.28 0.23 0.26 0.03 -0.41 0.48 

##################LEARN##################
Epoca 72 | FALLOS = 3 75%
Epoca 73 | ACIERTOS = 1 25%
Epoca 73 | FALLOS = 3 75%
Epoca 74 | ACIERTOS = 1 25%
Epoca 74 | FALLOS = 3 75%
Epoca 75 | ACIERTOS = 1 25%
Epoca 75 | FALLOS = 3 75%
Epoca 76 | ACIERTOS = 1 25%
Epoca 76 | FALLOS = 3 75%
Epoca 77 | ACIERTOS = 1 25%
Epoca 77 | FALLOS = 3 75%
Epoca 78 | ACIERTOS = 1 25%
Epoca 78 | FALLOS = 3 75%
Epoca 79 | ACIERTOS = 1 25%
Epoca 79 | FALLOS = 3 75%
Epoca 80 | ACIERTOS = 1 25%
Epoca 80 | FALLOS = 3 75%
Epoca 81 | ACIERTOS = 1 25%
Epoca 81 | FALLOS = 3 75%
Epoca 82 | ACIERTOS = 1 25%
Epoca 82 | FALLOS = 3 75%
Epoca 83 | ACIERTOS = 1 25%
Epoca 83 | FALLOS = 3 75%
Epoca 84 | ACIERTOS = 1 25%
Epoca 84 | FALLOS = 3 75%
Epoca 85 | ACIERTOS = 1 25%
Epoca 85 | FALLOS = 3 75%
Epoca 86 | ACIERTOS = 1 25%
Epoca 86 | FALLOS = 3 75%
Epoca 87 | ACIERTOS = 1 25%
Epoca 87 | FALLOS = 3 75%
Epoca 88 | ACIERTOS = 1 25%
Epoca 88 | FALLOS = 3 75%
Epoca 89 | ACIERTOS = 1 25%
Epoca 89 | FALLOS = 3 75%
Epoca 90 | ACIERTOS = 1 25%
Epoca 90 | FALLOS = 3 75%
Epoca 91 | ACIERTOS = 1 25%
Epoca 91 | FALLOS = 3 75%
Epoca 92 | ACIERTOS = 1 25%
Epoca 92 | FALLOS = 3 75%
Epoca 93 | ACIERTOS = 1 25%
Epoca 93 | FALLOS = 3 75%
Epoca 94 | ACIERTOS = 1 25%
Epoca 94 | FALLOS = 3 75%
Epoca 95 | ACIERTOS = 1 25%
Epoca 95 | FALLOS = 3 75%
Epoca 96 | ACIERTOS = 1 25%
Epoca 96 | FALLOS = 3 75%
Epoca 97 | ACIERTOS = 1 25%
Epoca 97 | FALLOS = 3 75%
Epoca 98 | ACIERTOS = 1 25%
Epoca 98 | FALLOS = 3 75%
Epoca 99 | ACIERTOS = 1 25%
Epoca 99 | FALLOS = 3 75%
Epoca 100 | ACIERTOS = 1 25%
Epoca 100 | FALLOS = 3 75%
Epoca 101 | ACIERTOS = 1 25%
Epoca 101 | FALLOS = 3 75%
Epoca 102 | ACIERTOS = 1 25%
Epoca 102 | FALLOS = 3 75%
Epoca 103 | ACIERTOS = 1 25%
Epoca 103 | FALLOS = 3 75%
Epoca 104 | ACIERTOS = 1 25%
Epoca 104 | FALLOS = 3 75%
Epoca 105 | ACIERTOS = 1 25%
Epoca 105 | FALLOS = 3 75%
Epoca 106 | ACIERTOS = 1 25%
Epoca 106 | FALLOS = 3 75%
Epoca 107 | ACIERTOS = 1 25%
Epoca 107 | FALLOS = 3 75%
Epoca 108 | ACIERTOS = 1 25%
Epoca 108 | FALLOS = 3 75%
Epoca 109 | ACIERTOS = 1 25%
Epoca 109 | FALLOS = 3 75%
Epoca 110 | ACIERTOS = 1 25%
Epoca 110 | FALLOS = 3 75%
Epoca 111 | ACIERTOS = 1 25%
Epoca 111 | FALLOS = 3 75%
Epoca 112 | ACIERTOS = 1 25%
Epoca 112 | FALLOS = 3 75%
Epoca 113 | ACIERTOS = 1 25%
Epoca 113 | FALLOS = 3 75%
Epoca 114 | ACIERTOS = 1 25%
Epoca 114 | FALLOS = 3 75%
Epoca 115 | ACIERTOS = 1 25%
Epoca 115 | FALLOS = 3 75%
Epoca 116 | ACIERTOS = 1 25%
Epoca 116 | FALLOS = 3 75%
Epoca 117 | ACIERTOS = 1 25%
Epoca 117 | FALLOS = 3 75%
Epoca 118 | ACIERTOS = 1 25%
Epoca 118 | FALLOS = 3 75%
Epoca 119 | ACIERTOS = 1 25%
Epoca 119 | FALLOS = 3 75%
Epoca 120 | ACIERTOS = 1 25%
Epoca 120 | FALLOS = 3 75%
Epoca 121 | ACIERTOS = 1 25%
Epoca 121 | FALLOS = 3 75%
Epoca 122 | ACIERTOS = 1 25%
Epoca 122 | FALLOS = 3 75%
Epoca 123 | ACIERTOS = 1 25%
Epoca 123 | FALLOS = 3 75%
Epoca 124 | ACIERTOS = 1 25%
Epoca 124 | FALLOS = 3 75%
Epoca 125 | ACIERTOS = 1 25%
Epoca 125 | FALLOS = 3 75%
Epoca 126 | ACIERTOS = 1 25%
Epoca 126 | FALLOS = 3 75%
Epoca 127 | ACIERTOS = 1 25%
Epoca 127 | FALLOS = 3 75%
Epoca 128 | ACIERTOS = 1 25%
Epoca 128 | FALLOS = 3 75%
Epoca 129 | ACIERTOS = 1 25%
Epoca 129 | FALLOS = 3 75%
Epoca 130 | ACIERTOS = 1 25%
Epoca 130 | FALLOS = 3 75%
Epoca 131 | ACIERTOS = 1 25%
Epoca 131 | FALLOS = 3 75%
Epoca 132 | ACIERTOS = 1 25%
Epoca 132 | FALLOS = 3 75%
Epoca 133 | ACIERTOS = 1 25%
Epoca 133 | FALLOS = 3 75%
Epoca 134 | ACIERTOS = 1 25%
Epoca 134 | FALLOS = 3 75%
Epoca 135 | ACIERTOS = 1 25%
Epoca 135 | FALLOS = 3 75%
Epoca 136 | ACIERTOS = 1 25%
Epoca 136 | FALLOS = 3 75%
Epoca 137 | ACIERTOS = 1 25%
Epoca 137 | FALLOS = 3 75%
Epoca 138 | ACIERTOS = 1 25%
Epoca 138 | FALLOS = 3 75%
Epoca 139 | ACIERTOS = 1 25%
Epoca 139 | FALLOS = 3 75%
Epoca 140 | ACIERTOS = 1 25%
Epoca 140 | FALLOS = 3 75%
Epoca 141 | ACIERTOS = 1 25%
Epoca 141 | FALLOS = 3 75%
Epoca 142 | ACIERTOS = 1 25%
Epoca 142 | FALLOS = 3 75%
Epoca 143 | ACIERTOS = 1 25%
Epoca 143 | FALLOS = 3 75%
Epoca 144 | ACIERTOS = 1 25%
Epoca 144 | FALLOS = 3 75%
Epoca 145 | ACIERTOS = 1 25%
Epoca 145 | FALLOS = 3 75%
Epoca 146 | ACIERTOS = 1 25%
Epoca 146 | FALLOS = 3 75%
Epoca 147 | ACIERTOS = 1 25%
Epoca 147 | FALLOS = 3 75%
Epoca 148 | ACIERTOS = 1 25%
Epoca 148 | FALLOS = 3 75%
Epoca 149 | ACIERTOS = 1 25%
Epoca 149 | FALLOS = 3 75%
Epoca 150 | ACIERTOS = 2 50%
Epoca 150 | FALLOS = 2 50%
Epoca 151 | ACIERTOS = 2 50%
Epoca 151 | FALLOS = 2 50%
Epoca 152 | ACIERTOS = 2 50%
Epoca 152 | FALLOS = 2 50%
Epoca 153 | ACIERTOS = 2 50%
Epoca 153 | FALLOS = 2 50%
Epoca 154 | ACIERTOS = 2 50%
