0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.75646
Epoca 2, RMS = 0.67604
Epoca 3, RMS = 0.60423
Epoca 4, RMS = 0.54402
Epoca 5, RMS = 0.49692
Epoca 6, RMS = 0.46250
Epoca 7, RMS = 0.43810
Epoca 8, RMS = 0.42070
Epoca 9, RMS = 0.40814
Epoca 10, RMS = 0.39903
Epoca 11, RMS = 0.39244
Epoca 12, RMS = 0.38771
Epoca 13, RMS = 0.38436
Epoca 14, RMS = 0.38201
Epoca 15, RMS = 0.38039
Epoca 16, RMS = 0.37930
Epoca 17, RMS = 0.37857
Epoca 18, RMS = 0.37812
Epoca 19, RMS = 0.37785
Epoca 20, RMS = 0.37772
Epoca 21, RMS = 0.37769
Epoca 22, RMS = 0.37772
Epoca 23, RMS = 0.37780
Epoca 24, RMS = 0.37791
Epoca 25, RMS = 0.37804
Epoca 26, RMS = 0.37819
Epoca 27, RMS = 0.37835
Epoca 28, RMS = 0.37851
Epoca 29, RMS = 0.37867
Epoca 30, RMS = 0.37883
Epoca 31, RMS = 0.37899
Epoca 32, RMS = 0.37915
Epoca 33, RMS = 0.37930
Epoca 34, RMS = 0.37945
Epoca 35, RMS = 0.37959
Epoca 36, RMS = 0.37973
Epoca 37, RMS = 0.37987
Epoca 38, RMS = 0.37999
Epoca 39, RMS = 0.38012
Epoca 40, RMS = 0.38023
Epoca 41, RMS = 0.38035
Epoca 42, RMS = 0.38046
Epoca 43, RMS = 0.38056
Epoca 44, RMS = 0.38066
Epoca 45, RMS = 0.38075
Epoca 46, RMS = 0.38084
Epoca 47, RMS = 0.38093
Epoca 48, RMS = 0.38101
Epoca 49, RMS = 0.38109
Epoca 50, RMS = 0.38117
Epoca 51, RMS = 0.38124
Epoca 52, RMS = 0.38131
Epoca 53, RMS = 0.38137
Epoca 54, RMS = 0.38143
Epoca 55, RMS = 0.38149
Epoca 56, RMS = 0.38154
Epoca 57, RMS = 0.38160
Epoca 58, RMS = 0.38165
Epoca 59, RMS = 0.38169
Epoca 60, RMS = 0.38174
Epoca 61, RMS = 0.38178
Epoca 62, RMS = 0.38182
Epoca 63, RMS = 0.38186
Epoca 64, RMS = 0.38189
Epoca 65, RMS = 0.38192
Epoca 66, RMS = 0.38195
Epoca 67, RMS = 0.38198
Epoca 68, RMS = 0.38201
Epoca 69, RMS = 0.38203
Epoca 70, RMS = 0.38205
Epoca 71, RMS = 0.38207
Epoca 72, RMS = 0.38209
Epoca 73, RMS = 0.38211
Epoca 74, RMS = 0.38212
Epoca 75, RMS = 0.38213
Epoca 76, RMS = 0.38214
Epoca 77, RMS = 0.38215
Epoca 78, RMS = 0.38216
Epoca 79, RMS = 0.38216
Epoca 80, RMS = 0.38217
Epoca 81, RMS = 0.38217
Epoca 82, RMS = 0.38217
Epoca 83, RMS = 0.38217
Epoca 84, RMS = 0.38216
Epoca 85, RMS = 0.38216
Epoca 86, RMS = 0.38215
Epoca 87, RMS = 0.38214
Epoca 88, RMS = 0.38213
Epoca 89, RMS = 0.38212
Epoca 90, RMS = 0.38211
Epoca 91, RMS = 0.38209
Epoca 92, RMS = 0.38208
Epoca 93, RMS = 0.38206
Epoca 94, RMS = 0.38204
Epoca 95, RMS = 0.38202
Epoca 96, RMS = 0.38199
Epoca 97, RMS = 0.38197
Epoca 98, RMS = 0.38194
Epoca 99, RMS = 0.38191
Epoca 100, RMS = 0.38188
Epoca 101, RMS = 0.38184
Epoca 102, RMS = 0.38181
Epoca 103, RMS = 0.38177
Epoca 104, RMS = 0.38173
Epoca 105, RMS = 0.38169
Epoca 106, RMS = 0.38164
Epoca 107, RMS = 0.38160
Epoca 108, RMS = 0.38155
Epoca 109, RMS = 0.38150
Epoca 110, RMS = 0.38144
Epoca 111, RMS = 0.38139
Epoca 112, RMS = 0.38133
Epoca 113, RMS = 0.38127
Epoca 114, RMS = 0.38120
Epoca 115, RMS = 0.38114
Epoca 116, RMS = 0.38107
Epoca 117, RMS = 0.38099
Epoca 118, RMS = 0.38091
Epoca 119, RMS = 0.38083
Epoca 120, RMS = 0.38075
Epoca 121, RMS = 0.38066
Epoca 122, RMS = 0.38057
Epoca 123, RMS = 0.38048
Epoca 124, RMS = 0.38038
Epoca 125, RMS = 0.38027
Epoca 126, RMS = 0.38016
Epoca 127, RMS = 0.38005
Epoca 128, RMS = 0.37993
Epoca 129, RMS = 0.37981
Epoca 130, RMS = 0.37968
Epoca 131, RMS = 0.37954
Epoca 132, RMS = 0.37940
Epoca 133, RMS = 0.37925
Epoca 134, RMS = 0.37909
Epoca 135, RMS = 0.37892
Epoca 136, RMS = 0.37875
Epoca 137, RMS = 0.37857
Epoca 138, RMS = 0.37838
Epoca 139, RMS = 0.37818
Epoca 140, RMS = 0.37797
Epoca 141, RMS = 0.37774
Epoca 142, RMS = 0.37751
Epoca 143, RMS = 0.37726
Epoca 144, RMS = 0.37700
Epoca 145, RMS = 0.37672
Epoca 146, RMS = 0.37643
Epoca 147, RMS = 0.37611
Epoca 148, RMS = 0.37578
Epoca 149, RMS = 0.37543
Epoca 150, RMS = 0.37505
Epoca 151, RMS = 0.37465
Epoca 152, RMS = 0.37421
Epoca 153, RMS = 0.37375
Epoca 154, RMS = 0.37326
Epoca 155, RMS = 0.37273
Epoca 156, RMS = 0.37215
Epoca 157, RMS = 0.37153
Epoca 158, RMS = 0.37086
Epoca 159, RMS = 0.37014
Epoca 160, RMS = 0.36935
Epoca 161, RMS = 0.36850
Epoca 162, RMS = 0.36757
Epoca 163, RMS = 0.36656
Epoca 164, RMS = 0.36546
Epoca 165, RMS = 0.36427
Epoca 166, RMS = 0.36299
Epoca 167, RMS = 0.36163
Epoca 168, RMS = 0.36021
Epoca 169, RMS = 0.35879
Epoca 170, RMS = 0.35745
Epoca 171, RMS = 0.35639
Epoca 172, RMS = 0.35590
Epoca 173, RMS = 0.35647
Epoca 174, RMS = 0.35875
Epoca 175, RMS = 0.36343
Epoca 176, RMS = 0.37076
Epoca 177, RMS = 0.37996
Epoca 178, RMS = 0.38926
Epoca 179, RMS = 0.39683
Epoca 180, RMS = 0.40172
Epoca 181, RMS = 0.40401
Epoca 182, RMS = 0.40431
Epoca 183, RMS = 0.40328
Epoca 184, RMS = 0.40147
Epoca 185, RMS = 0.39925
Epoca 186, RMS = 0.39684
Epoca 187, RMS = 0.39436
Epoca 188, RMS = 0.39187
Epoca 189, RMS = 0.38938
Epoca 190, RMS = 0.38687
Epoca 191, RMS = 0.38436
Epoca 192, RMS = 0.38183
Epoca 193, RMS = 0.37929
Epoca 194, RMS = 0.37677
Epoca 195, RMS = 0.37429
Epoca 196, RMS = 0.37190
Epoca 197, RMS = 0.36963
Epoca 198, RMS = 0.36750
Epoca 199, RMS = 0.36554
Epoca 200, RMS = 0.36373
Epoca 201, RMS = 0.36210
Epoca 202, RMS = 0.36062
Epoca 203, RMS = 0.35930
Epoca 204, RMS = 0.35812
Epoca 205, RMS = 0.35707
Epoca 206, RMS = 0.35616
Epoca 207, RMS = 0.35537
Epoca 208, RMS = 0.35471
Epoca 209, RMS = 0.35418
Epoca 210, RMS = 0.35378
Epoca 211, RMS = 0.35352
Epoca 212, RMS = 0.35338
Epoca 213, RMS = 0.35338
Epoca 214, RMS = 0.35348
Epoca 215, RMS = 0.35369
Epoca 216, RMS = 0.35397
Epoca 217, RMS = 0.35430
Epoca 218, RMS = 0.35465
Epoca 219, RMS = 0.35497
Epoca 220, RMS = 0.35525
Epoca 221, RMS = 0.35543
Epoca 222, RMS = 0.35551
Epoca 223, RMS = 0.35546
Epoca 224, RMS = 0.35527
Epoca 225, RMS = 0.35494
Epoca 226, RMS = 0.35448
Epoca 227, RMS = 0.35388
Epoca 228, RMS = 0.35318
Epoca 229, RMS = 0.35237
Epoca 230, RMS = 0.35149
Epoca 231, RMS = 0.35055
Epoca 232, RMS = 0.34958
Epoca 233, RMS = 0.34858
Epoca 234, RMS = 0.34758
Epoca 235, RMS = 0.34659
Epoca 236, RMS = 0.34563
Epoca 237, RMS = 0.34469
Epoca 238, RMS = 0.34380
Epoca 239, RMS = 0.34295
Epoca 240, RMS = 0.34215
Epoca 241, RMS = 0.34138
Epoca 242, RMS = 0.34066
Epoca 243, RMS = 0.33996
Epoca 244, RMS = 0.33929
Epoca 245, RMS = 0.33863
Epoca 246, RMS = 0.33796
Epoca 247, RMS = 0.33729
Epoca 248, RMS = 0.33658
Epoca 249, RMS = 0.33584
Epoca 250, RMS = 0.33506
Epoca 251, RMS = 0.33424
Epoca 252, RMS = 0.33336
Epoca 253, RMS = 0.33244
