0.49 -0.21 
0.27 0.48 
-0.21 -0.48 
-0.02 0.34 
0.41 -0.16 0.44 0.21 

##################LEARN##################
Epoca 1, RMS = 0.76163
Epoca 2, RMS = 0.56944
Epoca 3, RMS = 0.50492
Epoca 4, RMS = 0.47494
Epoca 5, RMS = 0.45856
Epoca 6, RMS = 0.44966
Epoca 7, RMS = 0.44478
Epoca 8, RMS = 0.44192
Epoca 9, RMS = 0.44001
Epoca 10, RMS = 0.43849
Epoca 11, RMS = 0.43707
Epoca 12, RMS = 0.43564
Epoca 13, RMS = 0.43417
Epoca 14, RMS = 0.43274
Epoca 15, RMS = 0.43146
Epoca 16, RMS = 0.43049
Epoca 17, RMS = 0.42988
Epoca 18, RMS = 0.42957
Epoca 19, RMS = 0.42932
Epoca 20, RMS = 0.42886
Epoca 21, RMS = 0.42793
Epoca 22, RMS = 0.42637
Epoca 23, RMS = 0.42401
Epoca 24, RMS = 0.42066
Epoca 25, RMS = 0.41597
Epoca 26, RMS = 0.40938
Epoca 27, RMS = 0.40063
Epoca 28, RMS = 0.39423
Epoca 29, RMS = 0.40703
Epoca 30, RMS = 0.42853
Epoca 31, RMS = 0.43283
Epoca 32, RMS = 0.43072
Epoca 33, RMS = 0.42875
Epoca 34, RMS = 0.42729
Epoca 35, RMS = 0.42571
Epoca 36, RMS = 0.42352
Epoca 37, RMS = 0.42039
Epoca 38, RMS = 0.41614
Epoca 39, RMS = 0.41086
Epoca 40, RMS = 0.40509
Epoca 41, RMS = 0.39975
Epoca 42, RMS = 0.39542
Epoca 43, RMS = 0.39199
Epoca 44, RMS = 0.38911
Epoca 45, RMS = 0.38658
Epoca 46, RMS = 0.38419
Epoca 47, RMS = 0.38170
Epoca 48, RMS = 0.37908
Epoca 49, RMS = 0.37686
Epoca 50, RMS = 0.37590
Epoca 51, RMS = 0.37651
Epoca 52, RMS = 0.37761
Epoca 53, RMS = 0.37758
Epoca 54, RMS = 0.37580
Epoca 55, RMS = 0.37269
Epoca 56, RMS = 0.36906
Epoca 57, RMS = 0.36568
